userName,content,score,at,app_name
Held Anwar,"Untuk gangguan sudah di beritahukan ke kantornya tapi tanggapan nya jaringan atau peta suka ngoco, dari dulu kayak gitu kalau bukan karena murahnya dari apk lain sudah di tinggal kadang suka kasian Ama drivernya ga sesuai aja, pantesan aja suka di tolak mungkin karena ngaconya sebagai customer ga tau",3,2024-09-02 04:28:06,nujek
Framy Donald,"Maaf bintangnya saya turunkan..... Setelah 4 tahun menjadi pelanggan, dari yang Sangat membantu sekali, sekarang menjadi Sangat Error, Ribet dan pusing Sekali menggunakan aplikasi ini. Untuk developer, tolong di perbaiki masalah - masalah yang sering terjadi dalam aplikasi ini. 1. Titik pada Peta penjemputan dan pengantaran. 2. Penjemput ( pesan 1 orang, yang datang malah lebih dari 1 orang ). 3. Jaringan sering error.... Trimakasih....",2,2024-08-25 00:53:23,nujek
Muhamad Heru,Top,5,2024-08-22 13:11:04,nujek
Arriza Fathir,Aplikasi recom buat di Cianjur bagus banget Irit,4,2024-08-07 05:51:49,nujek
Redemtus Dionisius Pa,driver anda sengaja tidak mau menerima pesanan,1,2024-08-03 03:35:08,nujek
Tri Wibowo,Aplikasi sangat membantu custemer,5,2024-07-23 06:47:53,nujek
Capella72,"aplikasi abal abal,.. Kurang modal, kurang promosi, ga ada biaya bikin usaha, akhirnya promo mengandalkan driver, kocak... mending tutup dah kalo membuat driver sengsara!!!!!",1,2024-07-13 14:19:32,nujek
Teja Ahmad Nurnantian 0003,Baik,5,2024-06-28 11:00:40,nujek
Hairul Azriel,Mantap aplikasi hasil karya anak bangsa mantoolll,5,2024-06-18 16:11:30,nujek
Merrysa Anggraeni,driver nya menyebalkan di aplikasi memang murah tapi pas udh nyampe tempat minta 2 kali lipat,1,2024-06-09 12:53:47,nujek
Theresia Winona Tambayon,Paraaahhhh...!!!!! Kurang Modal berani bikin usaha !!!!!,1,2024-06-07 01:35:55,nujek
Slamet Ismail,Tepat waktu,5,2024-05-19 14:59:20,nujek
Bela Saputra,Nujek pokoknya mantap saya login juga gak sulit langsung proses Driver nya juga sipp apalagi harga nya merakyat banget bagus dikantong pokoknya pertahankan semoga sukses selalu nujek,5,2024-05-13 08:48:50,nujek
Desi Amalia,Baik,5,2024-05-01 02:11:37,nujek
Dea Mutiara,"Kalo bisa Drivernya di ospek dulu ,Drivernya kadang pada manja gamau nganterin ke tempat tujuan kalo agak jauh padahal sudah tertera bayarannya berapa",1,2024-04-30 09:56:15,nujek
Dafe Chapella,Susah login,2,2024-04-18 00:42:44,nujek
dewi Febrianti,Orderan ga prnh d terima driver wkwk hpus aj,1,2024-04-04 08:59:54,nujek
Yusuf Hamdani,"Udah bbrapa kali login ke nujek gk bisa terus,, sampe ganti akun tetep az, gk bisa padahal sy pelanggan nujek yg paling sering menggunakan jasa nujek, tpi pas udah error gini mls, jadi di uninstal az,,, mohon diperbaiku tuh jaringan/servernya",1,2024-04-01 00:12:17,nujek
Enung Hamidah,Abang nya ramah2.. terutama biaya nya sangat hemat.. makasih nujek sdh sangat membantu perjalanan saya,5,2024-03-23 14:18:53,nujek
R Haris.Z,HILANGKAN IZIN AKSES FOTO DAN VIDEO.ITU ADALAH PRIVASI UG MUNGKIN BISA DISALAH GUNAKAN.,1,2024-03-15 14:09:35,nujek
epep asik (epepp),gaje aplikasi pas pagi ga bisa login,1,2024-03-13 23:25:00,nujek
Yohana Marsela Patrisia,kasih bintang satu.soalnya pas masuk untuk pendaftaran ga bisa terus padahal jaringannya baik² aja,1,2024-03-06 10:53:44,nujek
Aulia Rachmah Nursyafitri,"Mapsnya lemot jadi gk tau udh dimana saat driver nya jemput, jadi sering nunggu lama juga karna maps yg gk akurat",3,2024-02-23 23:34:04,nujek
Budi Sulaeman,Di bandung udah ada belum,5,2024-02-22 09:20:42,nujek
Lonely24 Gaming,"Aplikasi gak jelas, gak ada driver sama sekali",1,2024-02-17 12:10:46,nujek
Sumargiati Atik,Krna belum bisa di verifikasi,3,2024-02-13 14:18:44,nujek
Zaid Alfathsya,"tolong lah driver'nya di seleksi lagi di briefing mereka sebelum berangkat ngojek , masa saya tiap pagi harus nunggu setengah jam buat driverny njemput saya padahal posisinya dekat , kebanyakan driver gatau jalan malah muter' gajelas",1,2024-02-09 01:10:33,nujek
anwar cecep,"Kendala utama peta nya ngaco, harga miring peta nya juga miring, pantesan harga murah ngarahin petanya juga ngaco parah, banyak update ga ada perkembangan malah tambah parah",5,2024-01-18 01:12:44,nujek
OTR Channel,Alhamdulillaah punya ku lancar jaya sukses terus nujek,5,2024-01-10 11:55:54,nujek
Riskyfast Fast,Hilangkan sistem pilih driver. Biar yg dapat merata bukan driver itu aja yg dipilih.,1,2024-01-09 10:41:29,nujek
Andika Dwi Santosa,"Sudah bagus tapi kalo di peta itu sering banget driver nya ga keliatan gerak di map, tolong diperjelas lagi ya",3,2024-01-09 09:39:53,nujek
Sri Soes Pudjiati,"Sy pelanggan setia Nujek dr mulai ada sampai sekarang. Perjalanannya selalu nyaman, layanan drivernya jg ramah tdk pernah bermasalah dgn penumpang justru mau membantu membawakan dan merapikan barang2 bawaan saya ke bagasinya. Terima kasih Nujek.",5,2023-12-31 03:26:48,nujek
Aufal Arrafy,"Saya suka, bisa jadi alternatif lain buat perbandingan",5,2023-12-29 23:03:04,nujek
Supri Yanto,Ok,5,2023-12-13 07:46:50,nujek
Heru Permadi,Tolong untuk Nujek Kota Cirebon dan kab.cirebon di aktifkan lagi dong. Sebenarnya Nujek lebih baik dengan aplikasi lain,5,2023-12-12 02:30:46,nujek
Deni Channel,sangat membantu,5,2023-12-06 09:18:51,nujek
Nisa Triwahyuni,"bikin lama bgt, kecantol dua driver bikin bingung aj.",1,2023-12-03 01:10:16,nujek
Dendi Rizaldi,Murah hemat terjangkau,5,2023-12-02 15:00:16,nujek
Putri Rahayu,"Kalo belum siap bikin aplikasi mending jangan dipaksakan.. Baru saja daftar sudah dipersulit,jaringan sibuk terus,harus pakai Telkomsel,pemilihan rute/driver yg ribet,mohon diperbaiki lagi.. Buat apa kalo harga terjangkau tp sulit buat dipakai..",2,2023-11-30 02:46:39,nujek
Amir Didid Tawi Mard,Yup,5,2023-11-15 12:14:01,nujek
Titi Suryanti,"Aplikasinya sangat ringan,tarifnya juga hemat,bisa berlangganan dan pilih driver,intinya sangat membantu masyarakat di wilayah Purwokerto dan sekitarnya...Nujek memang oke...Terima kasih nujek semoga berjaya di Indonesia khususnya di Purwokerto...hidup Nujek",5,2023-11-14 00:26:44,nujek
Reni Agustianirahayu,Inti nya udah jelek aja,1,2023-11-13 23:10:21,nujek
Jhonie,Terlalu sering error,3,2023-11-08 23:38:33,nujek
Dwiana Arimbi,Tarif cukup murah. Driver ramah.,4,2023-10-23 09:48:28,nujek
nazla alhadad,"aplikasi gajelas, error tanpa sebab",1,2023-10-21 07:32:23,nujek
Sindy Dewita,Kualitas driver Jelek.. minta uang tambahan tidak sesuai apk... Di turunin di tengah jalan Dan lebih parah nya lagi penumpang ga bisa ngasih bintang ke Driver nya.. dan di situ malah keterangan driver udah dapet bintang 5 dan alesan nya kaya driver nya sendiri yg nulis.. Ngakak.. sorry tapi ini kenyataan. Sorry nyesel saya pake apk ini. Mending ke apk sebelah.,1,2023-10-18 17:01:52,nujek
Yavvi Adi Nurrahman,Pokoke terbaik lahh,5,2023-10-13 00:20:47,nujek
Yan Andriana,Pilih Driver di Cianjur : YAN ANDRIANA,5,2023-10-03 11:20:26,nujek
baton safari kukuh,Harga bagus dan peta bagus cuma di chat kok masuknya wa. Jd nomer mlh kesebar. Tolong diperbaiki dan byk iklan di kota2 besar,5,2023-10-03 02:19:28,nujek
Siti Vina,Tingkatkan lagi . pokonya the best,4,2023-09-27 10:45:53,nujek
annas utomo,"Udah di update,setelah itu g pernah yang namanya dpt orderan lagi",5,2023-09-20 05:00:38,nujek
Heru Santosa,"lNujek semakin bagus. cuma yang kurang dari nujek adalah masih membedakan driver dalam kota dan luar kota. Hal ini tidak baik apabila pelanggan berada di daerah pinggiran. Harusnya driver diposisikan sama baik dari dalam maupun dari luar.Jadi begini,Nujek ini sangat kekurangan driver tapi masih pilih kasih. Usul saya radius penjemputan unlimited, tapi yang muncul di list driver hanyalah 3(tiga) orang terdekat saja, tanpa membedakan status. Hal Ini dimaksudkan supaya pelanggan selalu dapat driver",3,2023-09-13 18:40:23,nujek
Vlademir Is flower,"aplikasi yg bnyk bug ny, mulai dri mw login aj error mlu, trus dirver ny sombong gmw trima² ck",1,2023-09-05 03:47:15,nujek
Farrel Ravi,murah dan aman,5,2023-09-01 09:22:45,nujek
Karim saputra Saputra,Mantap,4,2023-08-28 16:32:16,nujek
AIR CACING RUQYAH,Tidak ada fitur untuk menilai driver,4,2023-08-27 11:15:14,nujek
Keysha makala Balqis firdaus,Aplikasinyaa terbaik deh pokonyaa harga merakyat tpi high quality✨️✨️ Mimin nya jga ngebantu bgttt pokonyaa ini aplikasi ter thebestt dehh favorit aku💖💖,5,2023-08-27 08:07:25,nujek
Adzkiya Naila fardhan,"Menurut saya Nujek adalah aplikator terbaik di Dunia Per ojolan,selain Tarifnya sangat murah Driver nya juga ramah ramah.",5,2023-08-25 22:15:19,nujek
edwin kusuma,kantor cabang NUJEK di Surabaya daerah mana...,2,2023-08-14 08:11:34,nujek
Layla Alvi Yani balfast,Aplikasinya jelek disaat membutuhkan driver hampir 1 jam mencari driver gak ada satupun yang nyangkut...parah bangett,1,2023-08-13 02:49:23,nujek
Nabilah Bila,Gajelas,1,2023-08-12 05:20:49,nujek
HAMIM MUSTOFA,Bagus dan sangat membantu,3,2023-08-11 12:40:56,nujek
rasidfds,"Tolong lah kasih fitur ganti nomor telpon atau minimal kasih fitur chat di aplikasi lah kaya apk sebelah biar gampang komunikasi cs sama driver, kadang cs order tp dihubungin ga aktif, lapor ke customer service jg ga ada tanggapan payah bgt",1,2023-08-11 10:02:03,nujek
Melanie Fh,Ongkos nya naik trus,1,2023-08-10 03:39:38,nujek
Millati Muslimah,Bagus. Tp syg di kotaku ga mndkung:( msa iya ojek nya harus nyebrang😭,5,2023-07-29 02:05:39,nujek
RICKY RIVALDI,"Terlalu murah kasihan drivernya, udah murah ada potongan ke mitra nujek nya, kasian bro dia butuh makan anak istrinya",1,2023-07-27 17:59:05,nujek
Risma Nurfatimah,buruk,1,2023-07-15 15:40:01,nujek
rian susanto,"Terlalu murah, pendapatan driver lebih dikit dari aplikasi lain. Jadi driver sedikit yang mau berlangganan. Mahalin dikit lah , masyarakat kita gak miskin² amat juga.",5,2023-07-13 06:26:32,nujek
donny putra,aplikasi baik dan harganya normal,5,2023-07-06 13:41:01,nujek
Wahab Hasbi,"Sejauh ini Aplikasinya simple, tarifnya murah, drivernya amanah",5,2023-07-04 06:49:23,nujek
Renaldi Muhammad,"map nya di perbaiki biar driver nya tidak kebingungan,notif nya jga kadang eror..saya sudah pesan dan menunggu 30 mnt tpi tryta di driver tidak masuk notif nya,pdhl di saya notif nya driver telah mengambil pesanan",1,2023-07-02 04:48:54,nujek
Rendi Mediansyah,Mantap,5,2023-06-20 03:56:40,nujek
Smart Daily Official,Buka berkali kali bikin hp ngecrash,1,2023-06-04 07:49:24,nujek
Nuriah Miftahul Jannah,Layanan cepat dan aman,5,2023-06-03 02:54:23,nujek
Anne Ersiscka Yuniarti,"Saya sudah hampir sebulan pakai jasa NUJEK DRIVE,memuaskan dan baru td dpt komplain dari driver katanya saya kasih bintang 1,pdhl saya blm pernah dan blm tau cara ngasih penilaian🙏,sebab kl udah nyampe tujuan suka ga ngeuh sm hp,bru bbrp jam kemudian buka hp jd kata tmn kl NUJEK pas kita sampai tujuan ada menu penilaiannya...saya mohon maaf utk driver NUJEK atas keterbatasan pengetahuan saya 🙏",5,2023-06-02 09:32:33,nujek
satria kamal,Baguss semogaa nujek semakin berkembang,5,2023-05-30 12:56:24,nujek
Alam Andi Umar Alam,Bagus,5,2023-05-26 09:01:40,nujek
ismi lia,aplikasinya nggak banget..mau daftar aja susah..ngga bisa2,3,2023-05-23 07:12:24,nujek
Nana Suryana,Msh mencoba,4,2023-05-23 01:17:50,nujek
Mohammad Zainudin,"Mohon untuk ditingkatkan lagi,karena aplikasi sering eror",1,2023-05-22 11:59:11,nujek
Efarza H,Keknya cuman perlu ada pembayaran non tunai,5,2023-05-20 16:57:43,nujek
Hany Hapian shakiel,Nih nujek makin hari makin parah eror terus kalo bisa pilih driver d hapus saja,1,2023-05-18 00:47:30,nujek
Fauziah Ratna sari,Nujek butuh pembenahan driver2 yang kurang pelayanan ke konsumen..contoh..ada driver tdk mandi .jorok jaket dan baju yg dipakai.tdk pakai sepatu.driver K-Po pada konsumen.sok akrab dan sok tahu juga suka posting yg berbau pornoaksi.ada driver gondrong rambutnya dibiarkan mana bau sekali.,2,2023-05-17 11:52:53,nujek
Catalina Pacifica,Nujek oke,5,2023-05-16 11:17:26,nujek
Ariih Syaudah,Nujek sekarang pelayanan nya sangat jelek . Order selalu aja di canssel...lama lama ni aplikasi di hapus,1,2023-05-14 05:01:09,nujek
Dwi candra Hadi mustofa,Kami tunggu di jember,5,2023-05-12 08:04:41,nujek
Dika Pratama,"Aplikasinya kadang suka error keluar sendiri lah, dan kalo driver menghubungi customer langsung ke whatsapp jadi agak melanggar privasi",2,2023-05-06 04:44:38,nujek
catherine sungsang,Layanan memuaskan,5,2023-05-05 09:18:36,nujek
Vhiya Arum,Is the best,5,2023-05-04 12:30:47,nujek
Wasillah Wasillah,"Puas dengan , aplikasi driver NuJEG",5,2023-05-04 08:07:58,nujek
Muhammad Awan,Oke,5,2023-05-03 07:31:56,nujek
Aprilia Lia,Eror,2,2023-05-03 06:52:45,nujek
Endah dwi Mumpuni,Unisntall trus install ulang msh tetep ga bs digunakan,1,2023-05-03 01:56:06,nujek
Efa Anggih,sudah di update kok malah gak bisa di buka ya,5,2023-05-03 01:11:27,nujek
Nadia Farda,di perbarui trs pdhl udh duperbarui engga bisaaaa truss,1,2023-05-03 00:25:49,nujek
Ahot,🙇‍♂️🙇‍♂️🙇‍♂️,5,2023-05-03 00:15:06,nujek
Wianda Larasati,Haloo min kenapa aplikasinya minta update terus ya? Padahal udah saya update. Saya jadi gabisa pake nih,4,2023-05-02 23:03:35,nujek
Rasidah Pinky,Punya q nujeknya GK bisa diupdate lgi,1,2023-05-02 22:51:46,nujek
Soebardono,Jujur dan hemat...👌👍,4,2023-05-02 22:18:48,nujek
Hijrah Nasuha,Update terus,5,2023-05-02 17:06:45,nujek
Restu Pamuji,Kok belum bisa update apk CS.nya,5,2023-05-02 15:59:45,nujek
Jubaidah Gefar,Good,5,2023-05-02 14:19:33,nujek
anne Zebra optikal 1,Baik,5,2023-05-02 14:06:36,nujek
Cep Yandi Hermawan,Susah updet,1,2023-05-02 13:34:23,nujek
Alvin Fauzan,Bagus sekali,5,2023-05-02 13:15:43,nujek
Mumu Muhiban,Ga bisa di buka kenapa?,1,2023-05-02 12:51:14,nujek
Cece Mariah,Bagus sekali,5,2023-05-02 12:49:27,nujek
Dhiemas Djayadiningrat,error,5,2023-05-02 12:47:15,nujek
Riki Juliandi,"Sering eror, payaaaahhhhh Bagus sih tapi jelek. Wkwkwk",1,2023-05-02 12:30:33,nujek
alamsyah alam,Aplikasi bagus murah sangat membantu terimakasih nujek,5,2023-05-02 12:21:11,nujek
Oma Hasanah,Udah di update tetep gak bisa buka aplikasi,1,2023-05-02 11:20:22,nujek
prima,Sudah diupdate kok minta update ulang 😬,3,2023-05-02 10:48:38,nujek
merry jasmine utomo,Info harus selalu update,5,2023-05-02 10:45:19,nujek
fadilah nurazizah,Sngt membantu dan jasa lebih terjangkau,5,2023-05-02 10:12:09,nujek
Ananda Afza Fauziah,"Ini aplikasinya kenapa ya error trus,, udah d update masih gak bisa, diinstal ulang juga tetep error, tolong ditingkatin lagi",1,2023-05-02 09:39:42,nujek
Salma Sakila 1819,Good,5,2023-05-02 09:17:28,nujek
M nizar Rivai,Masya Alloh ongkir nya murah,5,2023-05-02 07:48:55,nujek
Syifa Silvina Astari,Lebih diperbaiki lagi aplikasi ya jangn sampe error kembali,5,2023-05-02 07:46:59,nujek
Beni Gustaman,👍,5,2023-05-02 06:56:16,nujek
Arief Rahman,"Banyak bug, UI dan UX ancur",1,2023-05-02 05:41:27,nujek
Sri Ginevra,Aplikasinya dari kemaren gak bisa dipake,1,2023-05-02 01:30:01,nujek
Rosidin Akbar,eror mulu mau pesan ride,2,2023-05-02 01:28:10,nujek
Siti Komariah,udah dua hari susah pesan route eror teruss... kenapa sih,1,2023-05-01 23:37:14,nujek
Atun,Apk Kya tai sering error,2,2023-05-01 22:43:14,nujek
Didi Purwanto,"Aplikasi nya sering eror,",3,2023-05-01 22:21:36,nujek
Fitri Yani,Jaringan sibuk... Harap perbaiki pelihara dan jaga... Jangan sampai rusak apalagi eror..,5,2023-04-27 22:22:45,nujek
Tisna Ajeng Wardani,Berkali kali dan berhari hari pesan motor sll driver tdk ada di sekitar anda,3,2023-04-27 11:22:53,nujek
Supina Siti,Lokasi tidak akurat. Mohon admin di perbaiki aplikasi nya..,3,2023-04-27 07:32:22,nujek
telo kress,"Sebenarnya saya senang pakai aplikasi ini, cuma sayang sudah lama terjadi Saat buka aplikasi selalu loading mencari lokasi, ga bisa di pakai, sudah ikuti petunjuk uninstall dan install kembali tetap sama ga bisa di pakai",3,2023-04-25 14:34:44,nujek
Agus Fajar,Perbaiki lagi sistem map nya bos... Pesan 1 tapi orderan 2 motor,1,2023-04-23 04:17:18,nujek
Muhammad Nuh,Sering Log out sendiri,1,2023-04-22 10:36:55,nujek
Nindy Nasing,seharusnya restoran atau warung yg sudah tutup perlu di beri keterangan sehingga driver tidak kebingungan,3,2023-04-20 11:55:36,nujek
Ahmad Tigor,Aktifkan,5,2023-04-19 14:35:29,nujek
M S,Aplikasi banyak persetujuan baru download fix saya hapus lagi.. Ribet ngelag meragukan dan menghawatirkan,5,2023-04-19 07:24:52,nujek
Rivaldi Muhammad,Bagus,5,2023-04-13 09:21:21,nujek
agustina rahmanta,saya ingin berlangganan nujek blm pernah soal nya,4,2023-04-13 01:41:09,nujek
Ronni Setia,"Mhn maaf 🌟 satu dulu,Susah cari drever nya,,,maps/GPS suka2 loncat2..trimakasih..",1,2023-04-11 02:09:07,nujek
ryan sandria,"Drivernya pilih pilih, sering di tolak pesannannya",1,2023-04-08 07:12:15,nujek
DimasWijaya “Dimas” Sampurna,Good,5,2023-04-06 02:57:49,nujek
ajis mulyadi,Aplikasi makin parah Loading lama bangeet.. Suka susah masuk ke aplikasinya . Banyak driver yg suka nolak ..😡😡,1,2023-04-01 06:42:17,nujek
angelina witarsa,saya kasih bintang 3 dlu nanti klau bagus saya tambah bintang 7 smoga saja lancar,3,2023-03-12 18:44:13,nujek
Jarot Partoyo,Mantaaaab...👍👍,5,2023-03-11 04:53:49,nujek
Erik Oktavia,Terbaik,5,2023-03-11 04:44:39,nujek
dzio corel,"Untuk developer, Ini aplikasi sebenarnya bagus ya.. Cuma untuk fitur pilih driver sebaiknya dihilangin aja itu karena hanya bisa menguntungkan 1 driver saja mendingan ganti auto biar adil karena saya sebagai driver merasa dirugikan dengan adanya fitur itu..",3,2023-03-09 03:58:12,nujek
Amin Thohari87,Aplikasi sampah tidak berguna,2,2023-03-09 03:19:28,nujek
Ratna Patimah,"Saya senang dengan aplikasi ini, karena fitur yang mudah dan nyaman saat digunakan. Tapi akhir-akhir ini sedikit terganggu karena sudah beberapa kali order penjemputan namun selalu mendapatkan double driver dengan kondisi: yang masuk ke WA dan driver aktif di aplikasi berbeda. Sedangkan tidak ada tombol untuk cancel driver saat sudah mendapat jemputan. Mohon diperbaiki, karena saya selalu mendapat telpon dari driver yang berbeda ketika diperjalanan.",3,2023-03-06 01:05:01,nujek
Ratna Wati,Dng adanya Nuzeg kt bersyukur Alhamdulillah bisa memudahkn perjalanan kemana nana bs dimudahkn Trimakasih Nuzeg Sukss sll,5,2023-02-28 22:30:29,nujek
Haris Solle,Mantap,5,2023-02-22 11:13:33,nujek
Soleh Fudinalle,Semoga makin berkembang dan sejajar dengan aplikasi besar seperti Gojek dan Grab,5,2023-02-22 04:34:12,nujek
Syaqilla Hisam,"Sejauh ini cukup lumayan, dr jumlah rider atau driver lumayan banyak. jd mudah dan cepat jik melakukan pesanan rider atau driver. tetap jaga kualitas pelayannya ya.💪🏻💪🏻",5,2023-02-15 00:53:55,nujek
Rohasiholan Nababan,"Sudah tidak bisa login, alias mati total.",1,2023-02-07 18:23:28,nujek
Seputar Lightsum,"PELAYANANNYA JELEK BANGET, SEMUA DRIVER NOLAK ORDERAN. GILIRAN TERIMA ORDER MALAH GAK NGAPA-NGAPAIN, TERUS GAK BISA DIHUBUNGIN 👎👎👎",1,2023-02-03 13:27:14,nujek
Lilik Fauziyah,Aman dan terpercaya,5,2023-02-02 04:48:48,nujek
Wawaa Wawawa,Mantapp,5,2023-01-29 12:52:33,nujek
Vega Zikri,"Tidak bisa edit lokasi sesuai lokasi yg sebenarnya padahal nomor rumah beda sama yang sudah di tetapkan diaplikasi, tetapi tidak bisa di edit",1,2023-01-22 13:04:47,nujek
Lya Dhiki,Sangat bagus..,5,2023-01-21 17:10:47,nujek
Usfia Firmansyah,Aneh,1,2023-01-18 16:47:09,nujek
Salsaa,bagus,5,2023-01-16 06:43:41,nujek
Yoyok Al Ihgwan,Sangat baik pelayanan y dan jujur driver perform....,5,2023-01-16 05:39:11,nujek
Goodby -,User friendly interface. Mantap,4,2023-01-15 21:47:53,nujek
Asep Nasrullah,Sangat lamban,1,2023-01-03 01:28:19,nujek
Leomo naru,"Parah apk ny, dobel terus . Kali ini dobel ny telat udh masuk ke satu driver beberapa menit masuk ke driver lain. Kasian driver ny.",1,2023-01-02 00:42:20,nujek
FAHMI DWI PUTRA FAHMI,Minta tolong ordernya ya belum dapat orderan dari pagi sampai sekarang juga daerah Tangerang Selatan Banten,5,2022-12-23 11:16:51,nujek
Rayna Rahmadaniar Awaliah,Perbaiki lagi sistem apk 1. Ketika pesan 1 driver malah terhubung lebih ke 2 driver. 2. Ketika mau pesen dan cari lokasi dikota Cianjur malah muncul di kota Surabaya jauh dari lokasi.,3,2022-12-22 14:14:43,nujek
Afa Khadafi,"Saya bingung cara pesan food nya, keranjangnya di mana wooyyy...",2,2022-12-22 11:32:38,nujek
Arie mantul,"mohon di perbaiki LG di sistem chat nya,NUjek sebetulnya aplikator sangat bagus karna bikinan anak bangsa tp sayang chat nya lewat WA,coba chat nya lewat aplokator.semoga bermanfaat.NUjek semakin maju",5,2022-12-16 11:49:33,nujek
Ramadhan Akhmad,apakah sudah bisa digunakan dikota medan?,2,2022-12-15 04:54:52,nujek
Nur Yudhi Wijaya,Oke,5,2022-12-13 22:55:50,nujek
Wida Yati,Murah anternya jg cepat,5,2022-12-13 09:12:59,nujek
Lily Santoso,Baru install,5,2022-12-12 11:38:34,nujek
Penjelajah Lokasi,Daerah Samarinda bangkrut karena persaingan,1,2022-12-10 17:16:23,nujek
Annas Faajar,Sering kali GPS tidak berfungsi dengan benar menunjukkan posisi driver.. tolong diperbaiki lagi..,1,2022-11-29 01:53:09,nujek
SPESIALIS MESIN ICE KRISTAL & COLD STORAGE,Kasih 3bintang dulu yah..,3,2022-11-24 19:27:55,nujek
Deni Agustin,Mikir atuh keur bencanaa sariaa mah ngojeg,1,2022-11-21 12:33:26,nujek
Iwan Setiawan,Bagus sekali..,5,2022-11-20 11:24:31,nujek
Arka Pratama,"Saya heran kenapa setiap saya pesan yg datang 2 driver bahkan kadang lebih, jadi kasian ke driver yg udah jalan mau jemput ga jadi karna ada 1 orderan yg masuk ke 2 driver atau lebih, Tolong perbaiki.",1,2022-11-19 20:27:09,nujek
Arif Rahman hakim,Udh ada dijakarta blm,5,2022-11-18 03:33:45,nujek
kimia farma selakopi,Aplikasi jelek. Tiap order driver yg dteng selalu lebih dari 1. Bukan sekali 2 kali tp berkali2 merugikan driver & juga customer,1,2022-11-16 04:19:54,nujek
Irvan Jauhari,Aflikasi tai,1,2022-11-15 11:29:15,nujek
Fitri Saleng,Good,5,2022-11-13 10:29:41,nujek
Nur Din,Mau kompirmasi sy baru daftar nujek dn lokasi sy di jabodatabek knp minta no otp nya tdk di kasih kasih ya mohon saran nya admin tks,4,2022-11-11 23:27:37,nujek
Soebardono Soeroso,👌👍,4,2022-11-11 01:44:37,nujek
Aryae Eka putra,"Aplikasi tidak ada fitur yg membantu, terlalu memaksakan, tidak ada keamanan dalam aplikasi data pribadi bisa di curi, seluruh menu food muncul foto hacker bjorka. Aplikasi yang aneh.",1,2022-11-10 05:49:19,nujek
