content,userName,score,app_name
apk sangat bantu harga jangkau kantong kering driver juga ramah baik kurang saja maps nya bisa jalan moga makin kembang maju aplikasi datang saya rasa cukup baik,Siti Nur Hasanah,4,nujek
alhamdulillah aplikasi ne bagus walau gak tau order karna tdk driver murah banding maxim nya tp pas buka langsung arah nufood tidak bayar dgn e wallet bikin kerjasama sama nupay beberapa tempat tdk tersediya,Azfar Keren,5,nujek
tolong update ni app loading nya lama skali habis batang rokok baru stop loadingnya trus milih mud ribet amat pantas drivernya sering ngeluh sepi order ternyta dr app nya yg bermsalah tolong buat aplikasi mudah mungkin,Pengguna Google,3,nujek
untuk developer ini aplikasi benar bagus ya cuma fitur pilih driver baik dihilangin aja bisa untung 1 driver mending ganti auto biar adil karena saya driver rasa rugi ada fitur itu,dzio corel,3,nujek
maaf saran it pusat kalo map ganti google map untuk aplikasi nujek customer yang pakai ini bukan google map terimaksih titik posisi driver titik jemput order alu jauh kota cirebon,Sur Yana,1,nujek
seluruh aplikasi bagus mudah operasi yang kurang posisi drivernya pesan posisi driver aplikasi cuma diem aja baik,Supijati Supiyati,3,nujek
bagus murah untuk mudah guna kalah jauh harap sering diupdate baik buat resto kami yg sering order kalau rame ribet mau pake nujek ga praktis sering error alamat reset2 moga baik karena murah,Rangkong Never Giveup,5,nujek
apa nujek sy mau kirim barang 1 jam klik cari drivernya terus cape nge klik nya ga online lain lgs dpt harus tuju drivernya sangat ga bagus nujek sy hapus aplikasi bukan sy yg bilang teman2 sy nyata pada bilang ribet pakai aplikasi mudah bukan repot buang waktu trims,veriyanto sulaiman,1,nujek
aplikasi ada fitur yg bantu terlalu paksa ada aman aplikasi data pribadi di curi seluruh menu food muncul foto hacker bjorka aplikasi aneh,Aryae Eka putra,1,nujek
aplikasi suka error jaring oke aplikasi malah ketul jaring error pas di upgrade versi lebih baru malah makin error gak mesen tolong baik,Dwi Cahyani Hadi,3,nujek
tolong developer baik masalah saya sudah pakai apk nujek ini kenapa harus login ya padahal sudah login pas login ada tulis server eror developer baik cepat mungkin apk nujek sangat bantu harga murah,Khaikal Faiz,1,nujek
aplikasi saya belum sempurna alias cacat ketika order gak driver yg mau ambil tp aplikasi driver selalu lost klo gak gitu di cancel customer padahal mah bagai customer susah payah nyari driver gak dapet,Pengguna Google,1,nujek
saya guna nujek ojol saya selalu ramah sigap dan titik ojol terlalu jauh hanya saja aplikasi sering down tidak rekomended buru dan akhir saya pernah lg laku mesan via nujek aplikasi yang error down memang ada driver,Mimahh,4,nujek
udah bbrapa kali login nujek gk terus sampe ganti akun tetep az gk padahal sy langgan nujek yg paling sering guna jasa nujek tpi pas udah error gin mls jadi uninstal az mohon diperbaiku tuh jaring servernya,Yusuf Hamdani,1,nujek
lebih mudah operasi layan yg bagus baik ramah ada komunikasi driver jadi lbh nyaman dan yg penting biaya yg cukup kantong tengah bawah thanks nujek,Kusuma Dewi,5,nujek
untuk ganggu beritahukan kantor tanggap nya jaring peta suka ngoco dulu kayak gitu kalau bukan murah apk sudah tinggal kadang suka kasi ama drivernya ga sesuai aja pantesan aja suka di tolak mungkin ngaconya customer ga tau,Held Anwar,3,nujek
untuk hasil cari makan minum baik langsung tampil menu makan minum bukan lapak jual capek dong kalau lihat satu,Pengguna Google,3,nujek
payah top up dana ga pakai mau tarik upgrade premium masuk data proses gagal cs aplikasi tidak order aplikasi pake nucash sekali di klik bisa pakai tunai parah sekali,Wahid Nur Rahman,1,nujek
saya sangat bantu dg nujek tarif murah saing dg yg lain hanya yg paling sayang map driver lihat jalan jemput dan fitur chat langsung wa harus ad fitur chat sprt kompetitor mohon tim it kembang aplikasi nya,Rens Family,5,nujek
sementara bintang 3 dulu untuk gera driver dapat pantau jalan apa belum jadi dapat tahu posisi driver sudah mana moga tingkat lagi,Pengguna Google,3,nujek
aplikasi udah bagus msh asa leg klau pilih lewat map fitur pilih driver hapus krna ga adil buat driver yg lain blm bnyk guna promosi biar mkn rame trims,Jhon Onghlap Nababan,5,nujek
sangat sesal download nujek cs masa harus pake kartu telkomsel itu nilai min mata cs harus aplikasi baru tidak sulit tumpang eh mlh memperzulit cara masuk aplikasi cs sangat kecewa ga bakal lg download nujek cs sesal sekali,Nazia Shezan,1,nujek
bagus sih aq pakai indosat pun verifikasi aq coba sen makan nyata bisa beberapa hari yg lalu aq coba nuride nya juga gk ngaruh sih aq murah lgi ongkirnya enak pilih driver bagus lah moga depa bisa makin canggih fitur nya,Agus Susanto,5,nujek
mohon baik sering ganggu jaring padahal jaring normal aplikasi juga normal susah dpet driver pas ad pilih driver muncul info mohon periksa jaring hadeh,Inha Lestari,4,nujek
uda sen makan sekali eh mau sen ga karna kurang driver tpi semua sistem si bagus lebih murah aplikasi lain sen cuma tambah drivernya jangan kecewa konsumen,86,1,nujek
semangat terus nu jek di daerah di banyuwangi ada drivernya saran aja mohon laku promosi iklan lalu iklan fisik upa spanduk baliho dll iklan online guna facebook ads instagram ads google ads nu jek banyak guna baik driver atau tumpang,Pengguna Google,5,nujek
benar aplikasi udah bagus nggak lot sama opsi pilih driver tapi segi map nya zonk tempat banyak belum di ponorogo sama tarif masih mahal kalah sama asia trans harga terima kasih,Pengguna Google,1,nujek
tolong lah kasih fitur ganti nomor telpon minimal kasih fitur chat aplikasi lah kaya apk belah biar gampang komunikasi cs sama driver kadang cs order tp dihubungin ga aktif lapor customer service jg ga tanggap payah bgt,rasidfds,1,nujek
aplikasi sangat jelek pesan gak pernah tanggap driver nujek mereka alas kalau aplikasi nujek jelas alamat tuju lihat mesan sebab bingung driver moga yg punya aplikasi mengupdate mudah langgan driver,Pengguna Google,1,nujek
engga liat drivernya udah sampe mana jalur lewat mana engga tunjuk chat via wa respon lama deliv makan kan jadi engga nyaman barangkali keburu tutup soal gakeliatan posisi driver dmn tolong lebih baharu lagi percuma map tp engga liat tunjuk jalan sama drivernya,nulis antiano,3,nujek
saran kembang lagi biar nu makin jaya karena saing aplikasi ojol sangat banyak buat gebrak baru dongkrak pamor pasar nujek kalo bisa cari modal gedhe dulu entah materiil sdm suwun,Pengguna Google,5,nujek
aplikasi baru moga lebih baik depan perdana guna ni aplikasi layan driver sangat baik moga layan terus baik hingga benar2 bs mudah bantu customer bs sejahtera hidup driver,Aurelia,5,nujek
cara layan jelek kalo pake nujek aja ganggu lama kemudi salah titik jemput pernah padahal harga lebih murah dikit ga terlalu beda jauh sama ojek online lain,halimah Sadiah,1,nujek
aplikasi chat error perlu baik sdm nya perlu bina juga jangan asal terima driver gaptek trims moga lbh baik depan utama fitur chat masa telpon susah kak,ffchz_,4,nujek
aplikasi payah susah cari lokasi drivernya lama mungkin drivernya sering rebut order kalo punya niat bangun mending usah datang baru harus saing aplikasi ojol lain malah susah konsumen tetap untung ojol yg lama tarik aja nih aplikasi becus,Pengguna Google,1,nujek
aplikasi bagus fitur2nya banyak hal yg penting tuk harga lebih murah drpd ojol belah n langgan bs pilih driver yg per u baik mapsnya kurang akurat,Pengguna Google,4,nujek
main mula nih respon call center nya sangat amat lambat banget chat sekarang siap aja balas minggu depan harus datang baru soal layan kompetisi merek belah kayak nujek cuma jadi pandu sorak aja gak lebih buat ramai jagad transportasi online aja,Arek Blambangan,1,nujek
aplikasi udah didownload gilir mau coba pakai kok alamat beda kok peta surabaya terus lah orang palu cari lokasi muncul jalan yg kota lain itu gimana sih,Pengguna Google,1,nujek
baru mau pertama kali pke sungguh mngecewakan aku pesan ojek eh loding terus lama jdi telat waktu ahirnya pke app belah lngsung ga da loding nya baik klomau saing klo gin terus otomatis pindah app yg,Yoyon Sunardi,1,nujek
bagai jual sedikit kecewa krn pesan nujek tdk confirm shg kami tidk tahu ada pesan kemudian driver nujek ambil pesan tdk confirm bu tlp wa moga depan nujek lebih sistematis,artha reza,1,nujek
susah banget cari drivernya pdahal murah harga saing sm app yg lain tapi susah sekali drivernya bisa tambah mitra mungkin,Septi Ningsih,2,nujek
semenjak guna aplikasi ini jadi gk bingung kalau mau naik transportasi tempat saya tuju dan harga bayar nya ramah kantong terima kasih nujek atas layan nya,Wahyu Ishak,5,nujek
ribet pas verivikasi harus pake kartu telkomsel harus di semua kartu kalo kya gin csnya pda ga mau download terlalu ribet kalo kya gni trs ga bakal maju aplikasi mentok2 nyampe sini aja kalo ngga ada ubah,Wawan Setyawan,1,nujek
kok gk nerima kode verifikasi padahal udah nyoba 3 nomer beda hk bisa pakek sms kok gk y kata hatus diupdate dulu padahal kan baru aja dowload aplikasi buruk banget y gk ngasih solusi sama sekali,Pengguna Google,1,nujek
benar senang pakai aplikasi ini cuma sayang lama jadi saat buka aplikasi selalu loading cari lokasi ga di pakai ikut tunjuk uninstall install tetap sama ga di pakai,telo kress,3,nujek
bagusss sihh murah cmn jemput nya lama bangeett driver nya malah gak tw jemput dmna harus nya klw udh dpt order driver nya lgsg tuju titik jgn nunggu d telepon dl klw gin mending bayar mahal tp cepet,Nenden Samrotun,2,nujek
cari driver seleksi lah minimal punya attitude ini bilang nya buru2 nyalahin no terima ga aktif gada waktu order di ambil trus kalau no terima aktif usaha cari alamat nya kan udah di detail nya,Akah Suhandii,1,nujek
mohon baik maps nya pake here kurang maksimal alamat jemput antar tepat lebih modern in aplikasi,Pengguna Google,1,nujek
aplikasi butuh ram besar tp sayang gps nya kurang akurat sering trouble perlu baik mulai naik tarif mau nyamain tarif aplikasi belah jadi kurang deh bintang,Agenk Gemink,2,nujek
di kota tasikmalaya kurang promosi driver yg temu cuma baru 2 padahal lumyan bagus ini lebih gencar lg promo y kyk yg kuning dr belah biar yg ijo2 geser krn mahal,Ahmad Syarip Setiabudi,3,nujek
saran saya order yg udh order konfirmasi sudah jalan di cancel agar tidak ad oknum yg memanfaatkn peluang untuk rugi pihak nujek maupun customer,Pengguna Google,3,nujek
saya dftar tumpang sudah coba pesan dapat driver tapi kok peta kendara driver muncul tau driver minta batal pick up ny jauh pdhl saja ga tau posisi drivernya,Albertus Bima Sulistya,1,nujek
kepada yth buat aplikasi ini mohon untuk lebih optimal lagi dalam hal promosi biar banyak yg tau aplikasi ini jadi saing dengan aplikasi yg lain lewat media sosial media televisi dll makasih,Pengguna Google,5,nujek
untuk mesan food kadang terlalu jauh dri driver restonya tau yg order justru driver jarak yg dekat dg mes tolong baik dalam ini,Indra Muliyanto,5,nujek
moga nujek tumbuh kembang sama mitra tolong verifikasi custumer untuk all operator jangan cuma telkomsel kalau cs daftar mudah gk ribet lama2 banyak pakai promosi di media2 medsos tv banner tingkat,Puji Bonsai,5,nujek
perlu kembang cepat aplikasi sering dapat driver padahal pilih driver dekat jarak jemput tidak nyaman konsumen tetap pilih g2 ajar alam aplikasi g2,Setya Nugraha,3,nujek
josss moga makin maju sukses terus baik aplikasi kalo salah nya mantab harga sangat fantastis nyaman pilih driver mantab di depan ini,GURUH MEGA,5,nujek
udah instal tinggal pasang udah mau login tulisanya jaring sibuk kaya apa maksud pakai paket terus pindah wifi tetap gak mau login pakai facebook gak mau,Ajis maulana,1,nujek
masih perlu sempurna lagi gambar peta kacau bila perlu terap bayar digital nupay apa join salah satu bayar digital,Ardian Ilham,3,nujek
search lokation udah pas but jalur bolak balik yg nongol peta jln yg cuma 1 6 kilo jadi 8 kilo di lewat dulu lokasi 7an trus balik lagi mohon baik harus bayar cuma 5k jadi 12 5k,Pengguna Google,2,nujek
saya heran tiap pesan yg datang 2 driver bahkan kadang lebih jadi kasi driver yg udah jalan mau jemput ga jadi karna 1 order yg masuk 2 driver lebih tolong baik,Arka Pratama,1,nujek
tidak ad respon sama sekali pihak kembang aplikasi ini kartu tentu itu susah jaring sedang sibuk tolong tingkat kualitas aplikasi nya,d'chanel Sanjaya,1,nujek
sudah bagus harap lebih cepat digital money tidak pakai uang cash expansi resto lebih banyak lagi di tambah chat tidak semua pakai pulsa,Pengguna Google,5,nujek
saran peta baharu detail masuk sungai landmark agar lokasi yg muat peta dengan mudah temu lokasi terima kasih,Pengguna Google,4,nujek
ksh 1 za dlu klo dh upgrade aplikasi cs nya bru tmbah bintang aplikasi sdh bgs hampir rupa vendor tetangga tpi pas mau boking pesan ojek or mobil ga bsa auto searching almat jmput tuju msti manual cri tuju peta kaya zman firaun maen petak upet haha,Pengguna Google,1,nujek
sy langgan setia nujek dr mulai sampai sekarang jalan selalu nyaman layan drivernya jg ramah tdk pernah masalah dgn tumpang justru mau bantu bawa rapi barang2 bawa ke bagasi terima kasih nujek,Sri Soes Pudjiati,5,nujek
tidak edit lokasi sesuai lokasi yg benar padahal nomor rumah beda sama sudah tetap aplikasi tidak di edit,Vega Zikri,1,nujek
sangat bagus fitur-fitur tambah kena lokasi peta sedikit bingung tidak nama lokasi sekitar yg hanya nama jalan mohon baik terima kasih,Pengguna Google,5,nujek
ga semua lokasi akses di peta banyak drivernya pas mesan susah dpt driver kalo dpt itu jauh lokasi,Pengguna Google,2,nujek
sudah sy coba perlu banyak baik an menu aplikasi nya chating tumpang driver bisa,Scorpy Lusi,3,nujek
aplikasi sangat kecewa customer drivernya malas mau pesan eh malah cencel kalau ngak mau ngedirve jangan aktif aplikasi,Aprianto Maliu,1,nujek
saran adakan menu chating langsung lewat aplikasi harus lewat wa bisa pesan food yg hanya yg daftar aplikasi,Tri Muharom,4,nujek
tolong kasi kayak aplikasi versi belum mapsnya susah sekali terkadang sesuai maps nya itu,Pengguna Google,1,nujek
perlu sering update tidak sering error ada mendung hujan sering muncul tulis server error kasihan kastamer ingin order jadi kecewa tidak order,Himawan Agung Nugroho,5,nujek
aplikasi udah bagus harga cukup murah saing cuma mau ngasih saran coba iklan gabung mitra- mitra biar makin kembang minat makin banyak biar bisa saing yang lain,depong OFFICIAL,3,nujek
kurang selamat tuk coustumer akurat titik jemput dan satu lagie pesan foodnya kurang efektif tuk pesan makan ingin selanjuttanya kalau driver jangan terlalu jauh jemputtannya baik lagie sistem tambah maju masih kurang propesional mohon di perhati lagie trima kasih,Ari Sudana,1,nujek
maps kurang akurat driver aplikasi jalan padahal driver sampai lokasi jemput lebih tingkat,Dewi Rahayu Wulandari,4,nujek
murah sih tp map jalan jd tdk tau posisi drivernya dan layan antar barang bisa bayar dulu kaya ojol2 lain dan chatnya langsung wa menrutku privasi untk tau sama ojol,Pengguna Google,3,nujek
kode otp ga kirim saat daftar via sms ga sedia via wa kirim lebih baik auto uninstal aja pada penuhin memory hp,Pengguna Google,1,nujek
aplikasi sangat ringan tarif murah bisa langgan aplikasi sangat bagus alhamdulillah untung nujek jadi klo pergi pergi jadi mudah nujek sangat bantu terima kasih nujek,P Pudjo,5,nujek
tidak login selalu muncul notif jaring sedang sibuk padahal udah pake wlan pake paket data juga sama,Ekisa Anggara,1,nujek
wilayah bogor kurang kembang tumpang nya tolong lebih promosi donk biar ramai tumpang nya karna kalo sepi begini gimana mau maju dpan nya,Pengguna Google,3,nujek
subhanallah buat kesel sama drivernya udah kasih tip beri bintang 5 buka pesan nyata sesuai aku konfirmasi lewat chat nggak direspon sama sekali tolong nujek bimbing drivernya drivernya brebes kalo mau aku sebut nama aku baru order lewat dia kesel banget terimakasih,Ajengdwi Asih,2,nujek
aplikasi nujek sangat ringan 8 mb an dan tarif relatif lebih murah ayo teman teman segera download aplikasi nujek bisa pilih driver bisa langgan aplikasi sangat bagus dan sangat bantu masyarakat purwokerto sulit cari transportasi terima kasih nujek,Meilianto Raharjo,5,nujek
telah baru apk nya jd malah lambat jaring full tp tiap order loading lama banget pdhl biasa jg cepet pas sy uninstal dn masuk lg eh malah loading trs ga berhenti2,Ivo Pristina,1,nujek
hati2 transaksi nu jek alam pesan harga normal price tripfare sj datang tau2 aplikasi ubah tambah harga yg gak masuk akal gak jelas buat apa gak maju cara sperti nujek mksh,TBST HE Best,1,nujek
maap ada apa apl nujek tumpang kenapa gabisa masuk padahl pake gmail koo gabisa2 yah masuk daftar mohon admin baik atas bug kesahalan ini moga nujek depan nya makin jaya,SEAN GAMING,5,nujek
udah beberapa kali upgrade malah gagal terus banyak benah jangan terlalu susah guna gilir topup lancar upgrade malah susah apk tidak recommended,Faris Botutihe,1,nujek
map nya baik biar driver nya bingung notif nya jga kadang eror saya pesan tunggu 30 mnt tpi tryta driver masuk notif nya pdhl saya notif nya driver ambil pesan,Renaldi Muhammad,1,nujek
taxi online nujek sangat rekomendit tarif murah banget banding taxi online lain nya driver nya baik saya mau naik driver nya ucap salam pokok nya aq suka banget dech pakai transportasi satu ini,Titik Norcholis,5,nujek
di tekun kang mba insyaallah warga nu khusus warga indonesia umum mengunakan masif namun memang perlu banyak baik utama tarif biar saing dengan ojek online yg lain saya siap jadi driver motor area jakarta gmn cara daftar yah,Pengguna Google,5,nujek
tolong mantap cari lokasi masih susah guna langgan maka cari lokasi thanks,Pengguna Google,5,nujek
sebal baru nau daftar eh eror terus keluar terang internal server eror silah coba nanti terus mau coba lagi eh kode otp salah kalau bintang tengah mungkin gua kasih tengah,Pengguna Google,1,nujek
saran buat jangan slalu cancel driver go food pesan selalu cancel terus barusan pesan cancel gtw org lapar cukup gitu aja maaf cuma kasih bintang 1 layan kurang puas mohon d baik layan nya makasih,RADEN MAS17,1,nujek
bagus pilih driver cmn privasi nya kurang ya soal chat nya langsung wa sms d baik,Garasi Sale,3,nujek
belum download apk saya baca dulu reviewnya saya pakai telkomsel jaring 4g sinyal penuh saya verifikasi kok jaring sibuk mulu tolong baik sistem beri mudah konsumen best regards,Nanang Taufik Hidayat,2,nujek
ketika mau masuk aplikasi terus pindah email malah cepet bgt pindah nya jadi sangat lama masuk nya baik aplikasi ini,Pengguna Google,2,nujek
okay makasih resto udah di list menu food nya masih blm tau cara mnegatur resto foto dll sesuai janji kasih bintang 5 buat bambang,Pengguna Google,5,nujek
apa apa dari kemaren sen dinujek gak sama sekali driver yg nerima sampe 10kalian sen gak penting bgt aplikasi nya yg malah telat kerjaa gara2 gk yg nerima order saya parahhh bgt aplikasi nya gak ngebantu sama sekali,Bella Ananda putri,1,nujek
ini aplikasi ya error trus udah d update gak bisa diinstal ulang tetep error ditingkatin,Ananda Afza Fauziah,1,nujek
ribetx pake bnget tmpt tjuan gk bisa2 n verifikasi brpa x udah pke no t sel gk bisa2 jga mending sy hpus az krn ribet bnget perlu gk bisa2 jdi telat ngantar dokumen mending pkai yg az maaf saran sya baik aplikasix,Intan Borneo Food,1,nujek
ini say suka murah drivernya ramah saya purwokerto cilacap antar barang ongkos cma 100rbu biasa pake gojek apa grab 200rbuan irit ongkos awal bngng krena registrasi tulis unverified tp trnyata sdh guna maju trs nujek,M Cakraningrat Andhika T,5,nujek
assalamualaikum aplikasi bagus simple harga jangkau tetapi perhati search lokasi kadang kadang hilang serta jangkau driver perhati kadang para tumpang tunggu 10 15 menit driver,Pengguna Google,4,nujek
apps nya agak ruwed sih sttus d aplksi sya transaksi aktif tp sttus d app driver cancel u200d ga maju2 jdnya tu driver,Tities Tresna,3,nujek
untuk tarif sangat nyaman karena murah hanya perlu tingkat mapsnya ada driver nujek tidak tahu lokasi persis saya jadi sulit temu saya harus lama tunggu,Dedehvia Liviana,3,nujek
kendala utama peta nya ngaco harga miring peta nya miring pantesan harga murah ngarahin peta ngaco parah banyak update ga kembang malah tambah parah,anwar cecep,5,nujek
ya cara nya batalin gimana pesan nucar udah mau tengah jam gaa sampe2 gimana ini aplikasi maps nya betul biar bagai konsumen tahu posisi driver nya,Riene Anjani10,1,nujek
cari driver suka lama kaya ga butuh tumpang tambah makin hari makin eror selalu minta update buang kuota padahal harga oke apk belah,Nia Tsaniyah,3,nujek
aplikasi premature blm siap saing pasar butuh tiba2 trouble gak jelas dicancel 1 driver kemudian order lg tdk bs dpt driver tp driver yg itu2 lagi hadeehhh,Aqua rius,1,nujek
lebih hemat kantong maklum lah aplikasi baru jadi drivernya blm banyakn nunggu lama dikit,Pengguna Google,5,nujek
awal lancar udh order brpa kali lancar2 aja tpi lama lama udah gk order selalu tolak tpi tulis dsitu driver gk dekat anda,Farhan Soudya,1,nujek
aplikasi kadang eror alam disemarang aplikasi eror ada drifer dekat jadi paksa pindah yg lain tarip naik gak papa penting pel bagus selisih 5 ribu gojek,dwi prasetiyo,3,nujek
nyari titik tumpang aja ga bisa udah lama nunggu nya padahal jarak driver cuma 600 meter masa sampe tengah jam nunggu peta yg bener baik kalo mau maju,Riyan Apri,1,nujek
saya suka aplikasi ini sangat ringan tarif jangkau langgan pilih driver jaya selalu nujek nusantara khusus kabupaten banyumas,Pudjo Rahardjo,5,nujek
belum map tunjuk sedang jalan belum fasilitas isi saldo untuk lanjut banyak fitur lain bisa saing dgn gojol lain,Pengguna Google,3,nujek
sy rada kecewa nujek sy instal aplikasi custamer nujek ferifikasi gak bisa alas jaring padahal jaring tempat itu bagus jadi sy kecewa,Adipati unye,1,nujek
sangat bantu kirim barang cust cma susah sekali cari kurir gak kurir yg aktif moga lebih tingkat banyakin kurir,Ulvi Latif,5,nujek
payah n food ada yg ngambil pesan saya padahal bnyk drivernya yg dekat mending baik dulu apk dilaunching kalo layan blum maksimal,Pengguna Google,1,nujek
aplikasi maksimal kalo order lama bgt nunggu driver nya selalu kedapetan driver yg bukan asli tmpt tinggal saya jadi nya nggatau jalan drivernya,Pengguna Google,2,nujek
sebenernya aplikasi bagus serius deh buat desa bantu banget pas mau order makan yaampun ongkirnya ngadi ngadiwkwkwkwk mahal banget ampe ga jadi,Wina,4,nujek
coba kasih tampil acak driver jangan cuma pilih driver terus kasihan driver tidak pilih kembang aplikasi gk punya otak ini belum pernah rasa jadi driver ya,Eka Yulianti,1,nujek
aplikasi nya eror segera baik sayaa 2kali cancel driver karna pas order tiba tiba ubah titik jemput nya,22. Melina Nur Adinda,3,nujek
ntah kek mana aplikasi ni masuk no hp kata d masuk tak d kasih kode ferifikasinya lalu wa fb maupun sms gak ngerti sumpah kecewa nyesal d download gak d buka juga apa yg gak ngerti tapi d coba2 segala tetap gak da kode,Pengguna Google,1,nujek
aplikasi gak bagus mohon baik lagi semua costumernya gak lari aplikasi lain tiap kali buka aplikasi sering ke menu utama semua orang pake aplikasi nujek kesal kerja aplikasi sebut,Pengguna Google,1,nujek
aplikasi abal abal kurang modal kurang promosi ga biaya bikin usaha akhir promo andal driver kocak mending tutup dah kalo buat driver sengsara,Capella72,1,nujek
harga jangkau seperti aplikasi yg lain lebih milih driver sesuai ingin kita bisa langgan driver nya lagi,Pengguna Google,5,nujek
sangat sebal nih apk apasih mending apk gojek fasilitas lengkap tidak bikin kesal si costumer kadang2 lokasi ubah sendiri kurir nolak nerima pesan padahal kerjaa ongkirnya sih murah apknya juga murah,Rahmawati Razak,2,nujek
gimana nih mau masuk verifikasi aja gagal teruss kalo bikin aplikasi jgn nanggung langsung sekaligus aja biar ada yg uninstal moga tambah maju,Pengguna Google,5,nujek
jujur kecewa banget download aplikasi ini driver nya jauh banget gak jalan jalan ditelfon gak angkat di telfon angkat malah marah marah sekarang saya uninstall aplikasi nya,Ja'far Said,1,nujek
ko malah upgred malah bagus yg lama susah cari lokasi sering ketemu lokasi gitu padahal yg aplikasi di baharu lokasi ketemu,Pengguna Google,3,nujek
kalo order bolak balik rute jalan disamain dong jangan dijauhin brangkat sama pulang harga beda padahal titik lokasi nya sama,Ricky Ramadhan,1,nujek
nujek msh byk yg di baik sistem driver map driver blm lacak belum chat via aplikasi dan byk2 promosi fb ig dll promosu ga diskon,Nurul Baim,2,nujek
saran alamat jemput antar usah guna teks jalan waktu lihat jelas alamat jadi lama tks,Q21 Channel,5,nujek
aplikasi nujek pelayaannya kurang puas saya pindah aplikasi mitraqu jatim lebih rama sopan drevir ada potong sama sekali lebih murah murah sekali mitraqu jatim,Setyawan Widodo,1,nujek
daftar verifikasi sms nya masuk2 ulang tetap aja itu akhir tidak daftar tidak verifikasi baik,Pengguna Google,1,nujek
saya pesan nujek drivernya ndak temu akhir paksa uninstall dulu kalo kenal daerah di kalong baru download lagi maaf nujek terus kembang kalo daerah biar banyak drivernya,Xavier Mikail,3,nujek
keren sangat pas kantong tarif keren langsung chat wa jadi komunikasi cs n driver lebih mudah semangat terus nujek,Muhammad Alfan Ali Musthafa,5,nujek
