userName,content,score,at,app_name
Pengguna Google,ga lama nunggu,5,2025-04-12 13:28:47,grab
Pengguna Google,Titik map mohon diperbaiki krn tidak sesuai,5,2025-04-12 13:23:23,grab
Pengguna Google,terimakasih pengemudi x sangat baik,5,2025-04-12 13:18:52,grab
Pengguna Google,kenapa setiap saya pesan tidak bisa ada masalah dengan metode pembayaran,1,2025-04-12 13:16:15,grab
Pengguna Google,best,5,2025-04-12 13:07:39,grab
Pengguna Google,mntap,5,2025-04-12 13:06:42,grab
Pengguna Google,baik,5,2025-04-12 12:55:14,grab
Pengguna Google,"rute error, delay, makin sini makin mahal, dan rute pun terlalu jauh untuk opsi penjemputan,, parah, gmana bisa perbaiki gk? update sih update, tpi gk ada perbaikan sama sekali, malah makin ngaco nih aplikasi..",1,2025-04-12 12:52:14,grab
Pengguna Google,posisi rumah kurang akurat bahkan sampai ada grab yang nyasar jauh dari titik jemput,1,2025-04-12 12:49:18,grab
Pengguna Google,pengalaman baru,5,2025-04-12 12:41:26,grab
Pengguna Google,"Sangat baik dlm menjalakan motornya , , ,puas sama layanannya sabar ramah",5,2025-04-12 12:40:55,grab
Pengguna Google,"Informasi voucher tidak jelas yang bisa membuat salah pesanan, seharusnya setiap voucher diskon ada informasi untuk setiap metode pengantaran yang bisa mempermudah untuk memakainya agar tidak salah menggunakannya",1,2025-04-12 12:39:34,grab
Pengguna Google,ok,5,2025-04-12 12:37:31,grab
Pengguna Google,ok,5,2025-04-12 12:35:41,grab
Pengguna Google,"udah lama make apk ini, tp tiba tiba promo""nya pas dipake error terus katanya gabisa dipakai",4,2025-04-12 12:33:38,grab
Pengguna Google,oke GK perlu keluar rumah,5,2025-04-12 12:33:11,grab
Pengguna Google,mantap,5,2025-04-12 12:32:10,grab
Pengguna Google,cepat dan mantap,5,2025-04-12 12:28:33,grab
Pengguna Google,ok mantapp,5,2025-04-12 12:21:38,grab
Pengguna Google,aplikasi recommended banget,5,2025-04-12 12:17:02,grab
Pengguna Google,keren,5,2025-04-12 12:08:55,grab
Pengguna Google,mntap,5,2025-04-12 12:00:39,grab
Pengguna Google,layanan publik yang bisa melayani masyarakat dgn baik.semoga bisa dipertahankan 🙏,5,2025-04-12 12:00:17,grab
Pengguna Google,👍,4,2025-04-12 11:59:33,grab
Pengguna Google,bagus bangt,5,2025-04-12 11:50:57,grab
Pengguna Google,bagus,5,2025-04-12 11:48:06,grab
Pengguna Google,sangat membantu,5,2025-04-12 11:47:25,grab
Pengguna Google,supirnya ramah,5,2025-04-12 11:36:28,grab
Pengguna Google,Lebihh mudahh dalam berusahaa gunakan grab sebagai usahaa yang memuaskan hatii para pengusaha terimakasih grab semogaa semakin sukses dalam berusahaa buat saya dan semua pengguna grab 😊,5,2025-04-12 11:16:09,grab
Pengguna Google,saya sangat apresiasi dengan aplikasi ini dan sangat membantu,5,2025-04-12 11:10:13,grab
Pengguna Google,"drivernya baik banget, mobilnya nyaman👍👍👍",5,2025-04-12 10:41:14,grab
Pengguna Google,bagus,5,2025-04-12 10:39:41,grab
Pengguna Google,oke,5,2025-04-12 10:38:15,grab
Pengguna Google,jelek guys pesan food mahal anter lama anjritt mending gas otw langsung ke resto mixue lagi banyak promo gratis free boneka loh yuk ramaikan mixue m toha depan rs metro,1,2025-04-12 10:32:18,grab
Pengguna Google,"pelayanan driver mobil nya kurang..dari apk nya harga 40 jarak dekat malah minta dinaikin 200 kurang baik..mohon di peringatkan bagi driver""nya",1,2025-04-12 10:31:17,grab
Pengguna Google,bgus,5,2025-04-12 09:50:33,grab
Pengguna Google,sukses selalu,5,2025-04-12 09:49:57,grab
Pengguna Google,nyaman dan bagus,5,2025-04-12 09:45:58,grab
Pengguna Google,mantap,5,2025-04-12 09:42:06,grab
Pengguna Google,"awalnya saya ingin ke stasiun dari rumah saya , harga awal sebelum perjalanan 83 ribu, eh pas di perjalanan jadi 99 ribu. kok tiba' naik harganya, tolong grab benerin lagi aplikasinya masih banyak bug juga",3,2025-04-12 09:41:34,grab
Pengguna Google,trimakasih,5,2025-04-12 09:40:50,grab
Pengguna Google,toppp,5,2025-04-12 09:33:06,grab
Pengguna Google,sangat membantu semua jadi lebih gampang dan mudah,5,2025-04-12 09:32:24,grab
Pengguna Google,mantap,5,2025-04-12 09:22:46,grab
Pengguna Google,sangat terbaik,5,2025-04-12 09:19:22,grab
Pengguna Google,"kasi bintang 4 ya min , kerna susah dapat mobil ongkos nya naik terus dalam brapa detik,semoga di perbaiki pasti di kasi bintang 5",3,2025-04-12 09:18:13,grab
Pengguna Google,app masalah sesudah uptdate mengcewakan,5,2025-04-12 09:14:16,grab
Pengguna Google,terima kasih udah di antar ke tempat tujuan🙏,5,2025-04-12 09:10:54,grab
Pengguna Google,bagus pelayanan nya,5,2025-04-12 09:10:52,grab
Pengguna Google,Gw kasih bintng 4 dulu,4,2025-04-12 08:54:33,grab
Pengguna Google,nyaman,5,2025-04-12 08:49:02,grab
Pengguna Google,good Job,5,2025-04-12 08:23:56,grab
Pengguna Google,puas banget,5,2025-04-12 08:18:03,grab
Pengguna Google,bagusss,5,2025-04-12 08:08:45,grab
Pengguna Google,sangat membantu,5,2025-04-12 08:01:20,grab
Pengguna Google,"untuk grab bike bisa ada mode hening juga? kadang driver kurang peka, sudah dijawab tanpa antusias, masih juga diajak ngobrol.",5,2025-04-12 07:38:32,grab
Pengguna Google,Terimakasih sudah mendapat akses OvoPaylater Saran saya kepada pihak GRAB Semoga Fitur OvoPaylater bisa dipergunakan di semua Produk seperti aplikasi Gopaylater.. Mohon perkembangannya Terimakasih 🙏,5,2025-04-12 07:34:55,grab
Pengguna Google,sangat baik dan saye puas atas layanan nya,5,2025-04-12 07:28:56,grab
Pengguna Google,sigap..cepat,5,2025-04-12 07:22:51,grab
Pengguna Google,"APK yang dipakai dalam keseharian saya. Kekurangan yang saya rasakan adalah Grabcar hemat yang tidak bertahan lama. Hanya pada awal-awal saja dengan diskon taxi murah. Namun, setelah banyak pemakaian, diskonnya sangat sering kecil bahkan tak ada. Kekurangan lainnya adalah fitur melakukan satu pemberhentian terlebih dahulu. Bisa saya tebak driver tak sadar jika mendapat pesanan secara otomatis setelah pemberhentian tersebut. Sehingga, bisa saja dicancel/dibatalkan. (Setelah menunggu sangat lama)",4,2025-04-12 07:13:34,grab
Pengguna Google,baik,5,2025-04-12 07:09:51,grab
Pengguna Google,"lokasi loncat2, terakhir driver tidak bisa selesaikan perjalanan",1,2025-04-12 07:00:07,grab
Pengguna Google,ok,5,2025-04-12 06:16:58,grab
Pengguna Google,baik,5,2025-04-12 06:11:49,grab
Pengguna Google,"ok, cepat dan mudah",5,2025-04-12 06:11:32,grab
Pengguna Google,ga bisa di download,5,2025-04-12 06:03:59,grab
Pengguna Google,good,5,2025-04-12 06:01:04,grab
Pengguna Google,TOP,4,2025-04-12 05:46:03,grab
Pengguna Google,ape bende lah kadang murah kadang mahal,1,2025-04-12 05:45:34,grab
Pengguna Google,Sangat membantu,5,2025-04-12 05:41:38,grab
Pengguna Google,layanan nya baguss,5,2025-04-12 05:40:41,grab
Pengguna Google,"Grab food skrg susah bgt cari driver, mana gabisa di cancel lagi harus nunggu cancel sendiri. Harus nunggu se jam, bahkan bisa lebih nunggu bisa di cancel. Udh berkali-kali kaya gini, apa karena pakai promo ya driver gamau ambil. Saya pakai promo ya karena grab yg kasih",3,2025-04-12 05:37:15,grab
Pengguna Google,lumayan cukup membantu perjalanan,5,2025-04-12 05:31:14,grab
Pengguna Google,Baik,4,2025-04-12 05:28:59,grab
Pengguna Google,bagus,5,2025-04-12 05:28:10,grab
Pengguna Google,bapaknya sopan dan ramah bangat,5,2025-04-12 05:27:57,grab
Pengguna Google,bagus,5,2025-04-12 05:27:44,grab
Pengguna Google,"bagus, pengantaran cepat, kalo lagi gabut order ini aja ❤️",5,2025-04-12 05:13:33,grab
Pengguna Google,masakannya pas di lidah,5,2025-04-12 04:56:05,grab
Pengguna Google,membatu,5,2025-04-12 04:47:14,grab
Pengguna Google,hama hama hama hama minimal bawa motor gk nabrak org hama,1,2025-04-12 04:29:52,grab
Pengguna Google,mantap,5,2025-04-12 04:21:26,grab
Pengguna Google,bagus,5,2025-04-12 04:19:30,grab
Pengguna Google,ramah,5,2025-04-12 04:09:15,grab
Pengguna Google,senang,5,2025-04-12 04:08:58,grab
Pengguna Google,bepergian jadi gampang sangat membantu,5,2025-04-12 03:49:28,grab
Pengguna Google,kalo pesen sering dapet motor yang tidak sesuai dengan yang di aplikasi di aplikasi aerox/n mex yang dateng malah beat padahal udah pake yang bike standart/lebih besar(XL),1,2025-04-12 03:38:15,grab
Pengguna Google,mahal dan jarang ada promo,2,2025-04-12 03:35:26,grab
Pengguna Google,good,5,2025-04-12 03:30:46,grab
Pengguna Google,"terima kasih, pak supir.y baik, ramah, di antar sampai ke dpan pintu, banyak banyak terima kasih",5,2025-04-12 03:24:47,grab
Pengguna Google,baik,5,2025-04-12 03:24:30,grab
Pengguna Google,oke,5,2025-04-12 03:17:40,grab
Pengguna Google,susah cari driver sekali dpt ga jalan jalan hdhh,1,2025-04-12 03:15:27,grab
Pengguna Google,cepat tiba dn tepat waktu,5,2025-04-12 03:13:05,grab
Pengguna Google,good,5,2025-04-12 03:12:33,grab
Pengguna Google,👍👍👍,5,2025-04-12 03:06:34,grab
Pengguna Google,jaya terus,5,2025-04-12 03:05:00,grab
Pengguna Google,update teruss,1,2025-04-12 02:46:15,grab
Pengguna Google,sangat baik,5,2025-04-12 02:40:53,grab
Pengguna Google,"terimakasih ,selamat sampai tujuan",5,2025-04-12 02:00:45,grab
Pengguna Google,mantap,5,2025-04-12 01:22:06,grab
Pengguna Google,grab mantap,5,2025-04-12 01:21:34,grab
Pengguna Google,puas banget dehh,5,2025-04-12 01:17:04,grab
Pengguna Google,pelayanan yg TOP,5,2025-04-12 01:12:12,grab
Pengguna Google,"Bagus banget, kalo lagi males bisa pesen makanan",1,2025-04-12 01:02:04,grab
Pengguna Google,lebih satset Mase,5,2025-04-12 00:47:00,grab
Pengguna Google,trimksh pesanan sudah sampai tepat waktu. trimksh grab dan yg antarnya Rama. keran gak salah pilih tempat untuk yg mau sarapan pgi.,5,2025-04-12 00:45:38,grab
Pengguna Google,sangat membantu.......,5,2025-04-12 00:36:04,grab
Pengguna Google,oke,5,2025-04-12 00:33:26,grab
Pengguna Google,pelayanan bagus,5,2025-04-12 00:30:39,grab
Pengguna Google,lebih hemat di banding yg lain... driver nya juga baik.terima kasih grab...,5,2025-04-12 00:26:26,grab
Pengguna Google,terima kasih telah mengantar kami dgn sangat baik,5,2025-04-12 00:08:30,grab
Pengguna Google,perlu titik yg lebih akurasi lagi,4,2025-04-12 00:03:08,grab
Pengguna Google,mantap,5,2025-04-12 00:01:25,grab
Pengguna Google,nyaman,4,2025-04-12 00:00:29,grab
Pengguna Google,"layan mu semakin lama semakin memburuk,, sehingga saye harus menunggu sangat lama?",1,2025-04-11 23:55:00,grab
Pengguna Google,ok,5,2025-04-11 23:09:43,grab
Pengguna Google,"sehat"" buat mas driver'a...",5,2025-04-11 23:08:27,grab
Pengguna Google,terimakasih,3,2025-04-11 23:05:48,grab
Pengguna Google,bagus membantu pekerjaan saya 🙏,5,2025-04-11 23:02:13,grab
Pengguna Google,good and excellent apk transportation online,5,2025-04-11 22:02:14,grab
Pengguna Google,sangat baik,5,2025-04-11 21:36:32,grab
Pengguna Google,ok,5,2025-04-11 21:10:04,grab
Pengguna Google,membantu,4,2025-04-11 21:06:46,grab
Pengguna Google,sangat puas,5,2025-04-11 20:31:21,grab
Pengguna Google,grab wilayah gempol harga 8000 minta lebih jadi 20000 minta rating bintang 5 juga mantap grab lgsg di tindak driver nya tapi driver nya drama nangis² istrinya bukan drivernya,3,2025-04-11 17:46:28,grab
Pengguna Google,👍👍,5,2025-04-11 17:46:04,grab
Pengguna Google,aman nyaman,5,2025-04-11 17:25:17,grab
Pengguna Google,pesen grab mobil 1 jam gak dateng2 muter2 aja drivernya,1,2025-04-11 17:17:42,grab
Pengguna Google,puas sekali,5,2025-04-11 16:52:41,grab
Pengguna Google,"terimakasih,,,",5,2025-04-11 16:28:39,grab
Pengguna Google,bijak,5,2025-04-11 16:25:48,grab
Pengguna Google,bagus,5,2025-04-11 16:23:34,grab
Pengguna Google,sangat Yaman,5,2025-04-11 16:20:06,grab
Pengguna Google,gercep gaesss,5,2025-04-11 16:14:17,grab
Pengguna Google,top,5,2025-04-11 15:42:55,grab
Pengguna Google,keselamatan lengkap,5,2025-04-11 15:40:39,grab
Pengguna Google,"setiap hujan selalu nunggu sampe 2 jam, padahal pengantaran reguler bukan hemat",1,2025-04-11 15:40:03,grab
Pengguna Google,Dari dulu pake grep aman sakarang entah knapa.sring dapat bug,5,2025-04-11 15:37:44,grab
Pengguna Google,mantap,5,2025-04-11 15:33:00,grab
Pengguna Google,membantu,5,2025-04-11 15:29:38,grab
Pengguna Google,bagus,5,2025-04-11 15:25:43,grab
Pengguna Google,betah,5,2025-04-11 15:16:13,grab
Pengguna Google,memberi pelayanan terbaik,5,2025-04-11 15:14:57,grab
Pengguna Google,bagus,5,2025-04-11 14:46:36,grab
Pengguna Google,grab emang bagus,4,2025-04-11 14:29:29,grab
Pengguna Google,good,5,2025-04-11 14:25:39,grab
Pengguna Google,terbaik,5,2025-04-11 14:14:56,grab
Pengguna Google,mau daftar nggak bisa login di apk grab nya padahal baru kok bisa eror cobak,1,2025-04-11 14:02:29,grab
Pengguna Google,bagus,5,2025-04-11 14:01:32,grab
Pengguna Google,is the best,5,2025-04-11 13:58:28,grab
Pengguna Google,cekatan dalam menanggapi pelayanan dalam perjalanan,5,2025-04-11 13:53:39,grab
Pengguna Google,mantap,5,2025-04-11 13:36:16,grab
Pengguna Google,👍,5,2025-04-11 13:34:49,grab
Pengguna Google,"saya terganggu dg kebijakan pembatalan order makanan yg baru. Tanpa mau mendengar alasan, krn dijawab mesin. Dg alasan kebijakan, grab menganulir setiap pengajuan pembatalan, alasan merchant sdh terima pesanan, harap bersabar. Ok, gw ikutin. Setelah 1 jam nunggu, ujung2nya muncul menu batal yg disebabkan merchant ga mampu proses pesanan. Ngeselin gak sih?? makanya grab, aplikasi itu ttp dikelola manusia ber OTAK, biar bs ngerti alasan pelanggan minta batal, bs berempati. aplikasi busuk",1,2025-04-11 13:31:38,grab
Pengguna Google,apl membantu,5,2025-04-11 13:26:53,grab
Pengguna Google,"prdana naik grab, trnyata seru jg y",5,2025-04-11 13:26:40,grab
Pengguna Google,"nunggu makanan 2 jam lebih karena tidak ada driver, dan tidak ada kepastian. harusnya ada fitur untuk pembatalan jika sudah lewat batas waktu. masa pesan makanan 2 jam baru dateng. mau pesan yang lain nanti kedobel pesanannya.",2,2025-04-11 13:23:34,grab
Pengguna Google,pesenan y cepet bgs,5,2025-04-11 13:15:13,grab
Pengguna Google,tq seller,5,2025-04-11 13:05:13,grab
Pengguna Google,bagus Lanjutkan,5,2025-04-11 13:03:34,grab
Pengguna Google,Memuaskan,5,2025-04-11 13:03:27,grab
Pengguna Google,Terima kasih,5,2025-04-11 12:59:02,grab
Pengguna Google,di layanin nya lama.,1,2025-04-11 12:53:42,grab
Pengguna Google,ok,3,2025-04-11 12:43:29,grab
Pengguna Google,tolong yaa itu mapsnya dibenerin titiknya ga bener semua. yakali nama lokasinya di plamongan sari tapi titiknya di muktiharjo. titik mapsku juga melenceng jaoh,1,2025-04-11 12:29:43,grab
Pengguna Google,ba dwi komunikasinya bagus,5,2025-04-11 12:25:37,grab
Pengguna Google,meringankan aktivitas sehari²,5,2025-04-11 12:22:24,grab
Pengguna Google,"ngeselin, 5x order gak ada yg mau, gak gerak2 juga padahal udh dpt najiss, sampe sejam berubah tarif baru bisa sampe gue tambahin tip biarpun tambah mahal ongkosnya dari sejam sebelumnya karena saya butuh. dan sekarang kirim barang kan mau cepet eleh si driver nyari jalan lain lah smua jalanan pada macet kok. aneh2 drivernya",1,2025-04-11 12:20:44,grab
Pengguna Google,keren,1,2025-04-11 12:14:15,grab
Pengguna Google,"makin ke sini semakin parah pelayanannya ,di apk juga gak ada tombol cancel untuk food...",3,2025-04-11 12:05:43,grab
Pengguna Google,saya gak bisa abdet,4,2025-04-11 12:03:03,grab
Pengguna Google,orangnya baik,5,2025-04-11 11:55:29,grab
Pengguna Google,orangnya rama,5,2025-04-11 11:55:11,grab
Pengguna Google,mantap,1,2025-04-11 11:54:33,grab
Pengguna Google,"grab skrng payah tidak mau nerima pembayaran uang secara tunai, kalau orng tidak punya rekening buat isi ovo lantas bagaimana?, jgn menyusahkan bagi customer yg melakukan pembayaran tunai.",2,2025-04-11 11:54:13,grab
Pengguna Google,ok,5,2025-04-11 11:50:00,grab
Pengguna Google,mantapp,5,2025-04-11 11:48:47,grab
Pengguna Google,mantap,5,2025-04-11 11:45:07,grab
Pengguna Google,terpercaya,5,2025-04-11 11:25:37,grab
Pengguna Google,"The customers had to wait for a long time. Right when the customer get a car, the driver immediately cancel it. Then back to waiting for another lifetime. What is this app? Waiting room people?",1,2025-04-11 11:25:20,grab
Pengguna Google,"sekarang banyak driver suka hati main cancel orderan ? padahal dah dekat tiba2 maen cancel,, tolong beri denda bagi driver macam t. tx,,",4,2025-04-11 11:10:49,grab
Pengguna Google,kalo ujan susah driver nya,2,2025-04-11 11:03:01,grab
Pengguna Google,"Setiap kali pesan makanan di Grab, alamatnya GPSnya selalu salah, alamat Rumah yg sudah tersimpan diubah sendiri oleh aplikasi GPS Grab, jelas alamatnya jadi Salah shg membuat bingung driver grab, sy benar2 KECEWA BERAT dgn Aplikasi ini. Penilaian bintang satu tidak akan sy rubah sampai aplikasi ini diperbaiki. Tx.",1,2025-04-11 10:54:27,grab
Pengguna Google,dengan ada nya Grab sangat membatu sekali,5,2025-04-11 10:40:25,grab
Pengguna Google,pengiriman cepat,5,2025-04-11 10:39:59,grab
Pengguna Google,baik,5,2025-04-11 10:39:21,grab
Pengguna Google,sukses trs yaa,5,2025-04-11 10:31:31,grab
Pengguna Google,"baik mbantu syah mengtar ank""syah trimaksih ms grep🤗🙏🙏",5,2025-04-11 10:25:56,grab
Pengguna Google,bermanfaat,5,2025-04-11 10:17:07,grab
Pengguna Google,puas,5,2025-04-11 10:08:38,grab
Pengguna Google,Sampai tepat waktu,5,2025-04-11 09:59:54,grab
Pengguna Google,sangat luarbiasa,5,2025-04-11 09:47:35,grab
Pengguna Google,sangat baik hati dan tidak sombong,5,2025-04-11 09:38:57,grab
Pengguna Google,pengemudi ya ramah,5,2025-04-11 09:32:43,grab
Pengguna Google,mantp,5,2025-04-11 09:19:33,grab
Pengguna Google,baik dan ramah,5,2025-04-11 09:17:11,grab
Pengguna Google,"gak boleh sejahtera kayaknya.. potongan 40%+jasa layanan, yang di terima driver hampir setengah yang di bayarkan penumpang",1,2025-04-11 09:11:53,grab
Pengguna Google,cukup baik 🤩,4,2025-04-11 09:07:43,grab
Pengguna Google,😊,5,2025-04-11 09:02:02,grab
Pengguna Google,skrg nyari drivernya agak lama ya,4,2025-04-11 08:52:57,grab
Pengguna Google,sangat membantu,5,2025-04-11 08:51:05,grab
Pengguna Google,okh,5,2025-04-11 08:43:30,grab
Pengguna Google,sangat bagus,5,2025-04-11 08:28:54,grab
Pengguna Google,sangat baik,5,2025-04-11 08:20:27,grab
Pengguna Google,bagus,5,2025-04-11 08:11:57,grab
Pengguna Google,baik,5,2025-04-11 08:08:08,grab
Pengguna Google,memuaskan,5,2025-04-11 08:04:35,grab
Pengguna Google,"Di grabfood tuh ada in lah chat buat pembeli biar gampang langsung chat si penjual, ini mah kudu si penjual dulu yang chat, biar nih pembeli bisa nanya nanya dulu!!!!!!, masalh nya nih ya dah pesen nunggu lama 2 jam malah di batalin sama si penjual alasannya toko tutup, gaenak ini yang beli nunggu gitu!!!!. Mana nyari grab nya lama!!!!, pesenan masuk ke penjual kalo grab dah dapet!!!, kalo sistem mau ke gitu ya cepet nyari grab nya!!!, mana dah pake yang pengantar prioritas tetep aja lama!!!",1,2025-04-11 08:03:29,grab
Pengguna Google,terima kasih sangat membantu,5,2025-04-11 08:02:24,grab
Pengguna Google,manatp,5,2025-04-11 07:57:17,grab
Pengguna Google,Mapnya kurang pas.saya cari rumah saya sendiri di map susah,1,2025-04-11 07:57:02,grab
Pengguna Google,aplikasinya bagus,5,2025-04-11 07:56:29,grab
Pengguna Google,kami sangat terbantu dengan pelayanannya,5,2025-04-11 07:54:07,grab
Pengguna Google,"Saya selama memakai apps grab untuk pesan GrabFood selalu aman, namun belakangan ini kayak ada bug dimana harga asli dari resto tiba-tiba jadi lebih tinggi saat sudah dipesan dan pesanan seperti double lalu pesanan prioritas seperti pesanan hemat yang mana datang telat. Tolong dibenahi dan perbaiki, sangat merugikan customer hal seperti ini🙏🏻Semoga g ada ngalamin hal yg sama seperti saya.",2,2025-04-11 07:40:56,grab
Pengguna Google,ok,5,2025-04-11 07:37:07,grab
Pengguna Google,"keren mobilnya, drivernya ngebantu dan responsif trmksh byk sdh d antr",5,2025-04-11 07:23:51,grab
Pengguna Google,driver nya banyak yg suka marah²,1,2025-04-11 07:20:34,grab
Pengguna Google,"aplikasi kurang menarik, pesanan ga ada cara cancel, suka tiba² mesen padahal masih dalem keranjang. minimal kasih jeda 5-10 menit buat customer cancel",1,2025-04-11 07:05:04,grab
Pengguna Google,ok sopan tau jalan rekomendasi,5,2025-04-11 06:59:25,grab
Pengguna Google,sangat membantu,5,2025-04-11 06:49:34,grab
Pengguna Google,sangat membantu dan ekonomis,5,2025-04-11 06:46:39,grab
Pengguna Google,grab aplikasi termurah dan bagus banget🫰🫰,5,2025-04-11 06:39:28,grab
Pengguna Google,Guud,5,2025-04-11 06:39:06,grab
Pengguna Google,luar biaaa,5,2025-04-11 06:06:49,grab
Pengguna Google,mantap,5,2025-04-11 06:05:57,grab
Pengguna Google,eror mulu perssaan,3,2025-04-11 05:52:34,grab
Pengguna Google,nyaman dan sopan.,5,2025-04-11 05:34:39,grab
Pengguna Google,baik,5,2025-04-11 05:20:27,grab
Pengguna Google,mantap,5,2025-04-11 05:15:34,grab
Pengguna Google,sangat membantu,5,2025-04-11 05:12:16,grab
Pengguna Google,semenjak pindah ke apk ini saya selalu mendapatkan driver yang kurang ramah.,1,2025-04-11 05:10:18,grab
Pengguna Google,sorry ini kenapa iklan grab ganggu di lockscreen ya? cari settingannya belum ketemu. mohon diperbaiki biar gak ganggu tampilan layar ponsel!,1,2025-04-11 04:50:55,grab
Pengguna Google,sangat baik,5,2025-04-11 04:39:00,grab
Pengguna Google,cepat ramah sopan mksih ya 🙏🙏,5,2025-04-11 04:38:01,grab
Pengguna Google,puas,5,2025-04-11 04:36:14,grab
Pengguna Google,terbaik,4,2025-04-11 04:27:24,grab
Pengguna Google,grab sangat membantu aktivitas kami,5,2025-04-11 04:26:55,grab
Pengguna Google,apk yg sanggat memuaskan,5,2025-04-11 04:01:09,grab
Pengguna Google,good,5,2025-04-11 04:00:04,grab
Pengguna Google,keseringan update ! lu aplikasi ojek ! bukan game !,1,2025-04-11 03:57:44,grab
Pengguna Google,Tambah maju dan profesional,5,2025-04-11 03:57:22,grab
Pengguna Google,bagus,5,2025-04-11 03:54:29,grab
Pengguna Google,"pelayanan bagus ,dervernya ramah2",5,2025-04-11 03:48:09,grab
