content,userName,score,at,app_name
ongkos nya naik trus,Melanie Fh,1,2023-08-10 03:39:38,nujek
bagus tp syg kota ga mndkung msa iya ojek nya nyebrang,Millati Muslimah,5,2023-07-29 02:05:39,nujek
terlalu murah kasihan drivernya udah murah potong mitra nujek nya kasi bro butuh makan anak istri,RICKY RIVALDI,1,2023-07-27 17:59:05,nujek
terlalu murah dapat driver lebih dikit aplikasi lain jadi driver sedikit mau langgan mahalin dikit lah masyarakat gak miskin juga,rian susanto,5,2023-07-13 06:26:32,nujek
aplikasi baik harga normal,donny putra,5,2023-07-06 13:41:01,nujek
jauh aplikasi simple tarif murah drivernya amanah,Wahab Hasbi,5,2023-07-04 06:49:23,nujek
map nya baik biar driver nya bingung notif nya jga kadang eror saya pesan tunggu 30 mnt tpi tryta driver masuk notif nya pdhl saya notif nya driver ambil pesan,Renaldi Muhammad,1,2023-07-02 04:48:54,nujek
buka kali kali bikin hp ngecrash,Smart Daily Official,1,2023-06-04 07:49:24,nujek
layan cepat aman,Nuriah Miftahul Jannah,5,2023-06-03 02:54:23,nujek
baguss semogaa nujek makin kembang,satria kamal,5,2023-05-30 12:56:24,nujek
aplikasi banget mau daftar aja susah ngga bisa2,ismi lia,3,2023-05-23 07:12:24,nujek
mohon tingkat lagi karena aplikasi sering eror,Mohammad Zainudin,1,2023-05-22 11:59:11,nujek
kek cuman perlu bayar non tunai,Efarza H,5,2023-05-20 16:57:43,nujek
nih nujek makin hari makin parah eror terus kalo pilih driver d hapus,Hany Hapian shakiel,1,2023-05-18 00:47:30,nujek
nujek butuh benah driver2 kurang layan konsumen contoh ada driver tdk mandi jorok jaket baju yg pakai tdk pakai sepatu driver k-po konsumen sok akrab sok tahu suka posting yg bau pornoaksi ada driver gondrong rambut biar mana bau sekali,Fauziah Ratna sari,2,2023-05-17 11:52:53,nujek
nujek sekarang layan nya sangat jelek order selalu aja canssel lama lama ni aplikasi hapus,Ariih Syaudah,1,2023-05-14 05:01:09,nujek
kami tunggu jember,Dwi candra Hadi mustofa,5,2023-05-12 08:04:41,nujek
aplikasi kadang suka error keluar sendiri lah kalo driver hubung customer langsung whatsapp jadi langgar privasi,Dika Pratama,2,2023-05-06 04:44:38,nujek
is the best,Vhiya Arum,5,2023-05-04 12:30:47,nujek
puas aplikasi driver nujeg,Wasillah Wasillah,5,2023-05-04 08:07:58,nujek
unisntall trus install ulang msh tetep ga bs guna,Endah dwi Mumpuni,1,2023-05-03 01:56:06,nujek
di update kok malah gak di buka,Efa Anggih,5,2023-05-03 01:11:27,nujek
baru trs pdhl udh duperbarui engga bisaaaa truss,Nadia Farda,1,2023-05-03 00:25:49,nujek
haloo min aplikasi minta update terus ya padahal udah update saya jadi gabisa pake nih,Wianda Larasati,4,2023-05-02 23:03:35,nujek
punya q nujeknya gk diupdate lgi,Rasidah Pinky,1,2023-05-02 22:51:46,nujek
jujur hemat,Soebardono,4,2023-05-02 22:18:48,nujek
kok bisa update apk cs nya,Restu Pamuji,5,2023-05-02 15:59:45,nujek
ga di buka kenapa,Mumu Muhiban,1,2023-05-02 12:51:14,nujek
sering eror payaaaahhhhh bagus sih jelek wkwkwk,Riki Juliandi,1,2023-05-02 12:30:33,nujek
aplikasi bagus murah sangat bantu terimakasih nujek,alamsyah alam,5,2023-05-02 12:21:11,nujek
udah update tetep gak buka aplikasi,Oma Hasanah,1,2023-05-02 11:20:22,nujek
sudah diupdate kok minta update ulang,prima,3,2023-05-02 10:48:38,nujek
info selalu update,merry jasmine utomo,5,2023-05-02 10:45:19,nujek
sngt bantu jasa lebih jangkau,fadilah nurazizah,5,2023-05-02 10:12:09,nujek
ini aplikasi ya error trus udah d update gak bisa diinstal ulang tetep error ditingkatin,Ananda Afza Fauziah,1,2023-05-02 09:39:42,nujek
masya alloh ongkir nya murah,M nizar Rivai,5,2023-05-02 07:48:55,nujek
lebih baik aplikasi jangn sampe error,Syifa Silvina Astari,5,2023-05-02 07:46:59,nujek
banyak bug ui ux ancur,Arief Rahman,1,2023-05-02 05:41:27,nujek
aplikasi kemaren gak dipake,Sri Ginevra,1,2023-05-02 01:30:01,nujek
eror mulu mau pesan ride,Rosidin Akbar,2,2023-05-02 01:28:10,nujek
udah hari susah pesan route eror teruss sih,Siti Komariah,1,2023-05-01 23:37:14,nujek
apk kya tai sering error,Atun,2,2023-05-01 22:43:14,nujek
aplikasi nya sering eror,Didi Purwanto,3,2023-05-01 22:21:36,nujek
jaring sibuk harap baik pelihara jaga jangan rusak eror,Fitri Yani,5,2023-04-27 22:22:45,nujek
kali kali hari hari pesan motor sll driver tdk di anda,Tisna Ajeng Wardani,3,2023-04-27 11:22:53,nujek
lokasi akurat mohon admin baik aplikasi nya,Supina Siti,3,2023-04-27 07:32:22,nujek
benar senang pakai aplikasi ini cuma sayang lama jadi saat buka aplikasi selalu loading cari lokasi ga di pakai ikut tunjuk uninstall install tetap sama ga di pakai,telo kress,3,2023-04-25 14:34:44,nujek
baik sistem map nya bos pesan 1 order 2 motor,Agus Fajar,1,2023-04-23 04:17:18,nujek
sering log out sendiri,Muhammad Nuh,1,2023-04-22 10:36:55,nujek
restoran warung yg tutup perlu beri terang driver bingung,Nindy Nasing,3,2023-04-20 11:55:36,nujek
aplikasi banyak tuju baru download fix hapus lagi ribet ngelag ragu menghawatirkan,M S,5,2023-04-19 07:24:52,nujek
ingin langgan nujek blm pernah soal nya,agustina rahmanta,4,2023-04-13 01:41:09,nujek
mhn maaf satu dulu susah cari drever nya maps gps suka2 loncat2 trimakasih,Ronni Setia,1,2023-04-11 02:09:07,nujek
drivernya pilih pilih sering tolak pesannannya,ryan sandria,1,2023-04-08 07:12:15,nujek
aplikasi makin parah loading lama bangeet suka susah masuk aplikasi banyak driver yg suka nolak,ajis mulyadi,1,2023-04-01 06:42:17,nujek
kasih bintang 3 dlu klau bagus tambah bintang 7 smoga lancar,angelina witarsa,3,2023-03-12 18:44:13,nujek
untuk developer ini aplikasi benar bagus ya cuma fitur pilih driver baik dihilangin aja bisa untung 1 driver mending ganti auto biar adil karena saya driver rasa rugi ada fitur itu,dzio corel,3,2023-03-09 03:58:12,nujek
aplikasi sampah guna,Amin Thohari87,2,2023-03-09 03:19:28,nujek
dng ada nuzeg kt syukur alhamdulillah memudahkn jalan nana bs dimudahkn trimakasih nuzeg sukss sll,Ratna Wati,5,2023-02-28 22:30:29,nujek
moga makin kembang sejajar aplikasi besar gojek grab,Soleh Fudinalle,5,2023-02-22 04:34:12,nujek
jauh cukup lumayan dr jumlah rider driver lumayan banyak jd mudah cepat jik laku pesan rider driver tetap jaga kualitas layan ya,Syaqilla Hisam,5,2023-02-15 00:53:55,nujek
sudah bisa login alias mati total,Rohasiholan Nababan,1,2023-02-07 18:23:28,nujek
layan jelek banget semua driver nolak order gilir terima order malah gak ngapa-ngapain terus gak bisa dihubungin,Seputar Lightsum,1,2023-02-03 13:27:14,nujek
aman percaya,Lilik Fauziyah,5,2023-02-02 04:48:48,nujek
tidak edit lokasi sesuai lokasi yg benar padahal nomor rumah beda sama sudah tetap aplikasi tidak di edit,Vega Zikri,1,2023-01-22 13:04:47,nujek
sangat baik layan y jujur driver perform,Yoyok Al Ihgwan,5,2023-01-16 05:39:11,nujek
user friendly interface mantap,Goodby -,4,2023-01-15 21:47:53,nujek
parah apk ny dobel terus kali dobel ny telat udh masuk satu driver beberapa menit masuk driver lain kasi driver ny,Leomo naru,1,2023-01-02 00:42:20,nujek
minta order belum order pagi sekarang daerah tangerang selatan banten,FAHMI DWI PUTRA FAHMI,5,2022-12-23 11:16:51,nujek
baik sistem apk 1 ketika pesan 1 driver malah hubung lebih 2 driver 2 ketika mau sen cari lokasi kota cianjur malah muncul kota surabaya jauh lokasi,Rayna Rahmadaniar Awaliah,3,2022-12-22 14:14:43,nujek
saya bingung cara pesan food nya keranjang mana wooyyy,Afa Khadafi,2,2022-12-22 11:32:38,nujek
mohon baik lg sistem chat nya nujek aplikator sangat bagus karna bikin anak bangsa tp sayang chat nya lewat wa coba chat nya lewat aplokator moga manfaat nujek makin maju,Arie mantul,5,2022-12-16 11:49:33,nujek
sudah guna kota medan,Ramadhan Akhmad,2,2022-12-15 04:54:52,nujek
murah anter jg cepat,Wida Yati,5,2022-12-13 09:12:59,nujek
daerah samarinda bangkrut saing,Penjelajah Lokasi,1,2022-12-10 17:16:23,nujek
sering kali gps fungsi benar tunjuk posisi driver baik lagi,Annas Faajar,1,2022-11-29 01:53:09,nujek
kasih 3bintang dulu yah,SPESIALIS MESIN ICE KRISTAL & COLD STORAGE,3,2022-11-24 19:27:55,nujek
mikir atuh keur bencanaa sariaa mah ngojeg,Deni Agustin,1,2022-11-21 12:33:26,nujek
saya heran tiap pesan yg datang 2 driver bahkan kadang lebih jadi kasi driver yg udah jalan mau jemput ga jadi karna 1 order yg masuk 2 driver lebih tolong baik,Arka Pratama,1,2022-11-19 20:27:09,nujek
udh dijakarta blm,Arif Rahman hakim,5,2022-11-18 03:33:45,nujek
aplikasi jelek tiap order driver yg dteng selalu lebih 1 bukan sekali 2 kali tp berkali2 rugi driver customer,kimia farma selakopi,1,2022-11-16 04:19:54,nujek
mau kompirmasi sy baru daftar nujek dn lokasi sy jabodatabek knp minta no otp nya tdk kasih kasih mohon saran nya admin tks,Nur Din,4,2022-11-11 23:27:37,nujek
aplikasi ada fitur yg bantu terlalu paksa ada aman aplikasi data pribadi di curi seluruh menu food muncul foto hacker bjorka aplikasi aneh,Aryae Eka putra,1,2022-11-10 05:49:19,nujek
engga liat drivernya udah sampe mana jalur lewat mana engga tunjuk chat via wa respon lama deliv makan kan jadi engga nyaman barangkali keburu tutup soal gakeliatan posisi driver dmn tolong lebih baharu lagi percuma map tp engga liat tunjuk jalan sama drivernya,nulis antiano,3,2022-11-09 15:56:07,nujek
layan bagus tapi kekuranganya mengapa d cirebon tidak ada driver car nya mohon d jawab kakak,GHOST TEAM,5,2022-11-06 13:18:55,nujek
aplikasi paling buruk bumi pihak driver maupun konsumen cari untung pribadi mengatasnamakan umat santri,Ekkk Ekkk,1,2022-11-02 08:14:18,nujek
ko aplikasi dapat download ya,Ririnn Turuu,5,2022-11-01 01:04:45,nujek
perlu sering update tidak sering error ada mendung hujan sering muncul tulis server error kasihan kastamer ingin order jadi kecewa tidak order,Himawan Agung Nugroho,5,2022-10-31 14:19:43,nujek
sering error mohon baik,King Maulana,3,2022-10-28 06:00:55,nujek
allhamdulillah sangat tolong ada aplikasi nujek aktifitas hari hari terima kasih nujek sukses selalu buat nujek,Reza Maulana,5,2022-10-27 13:56:30,nujek
lot pedahal sinyal penuh,nafis oc,2,2022-10-21 12:48:23,nujek
baru mau nyoba jdi guna nujek tpi boro2 pake buat daftar ga bisaa,Sartika Gustiroyati,2,2022-10-10 11:59:55,nujek
bayunmas jakarta pambang palembang,Gwarje Parsin Goulap,5,2022-10-10 06:57:02,nujek
cara daftar gmna,rahmat mapaliye,1,2022-10-08 14:29:26,nujek
aplikasi sangat bantu sayang nya kalo mau order selalu gk soal gk driver lokasi saya,Asyifa Felisia Sari,1,2022-10-04 11:17:58,nujek
jangan tak downlod aplikasi nujek ini rugi kalian pesan tranfortasi nujek cepat sekali layan ramah murah lagi kalo ada bintang sampe 100 saya 100 bintang makasih nujek,Ujang Yori,5,2022-09-26 13:48:55,nujek
parah kasi drever nya 9kilo meter harga nya cuman 18rb gak banding bbm saya driver rasa saran daftar nujek sadis driver nya bayangin aja 9kilo meter harga nya cuman 18rb gak mikir kalau bbm naik,Besi Aja,1,2022-09-21 18:05:10,nujek
kurang jaga privasi nomor pribadi jd banyak oknum driver nge cht enak alias ngegodain,Santi Pebriyanti,1,2022-09-19 12:58:51,nujek
jujur hemat pool,Ahmad Arobi,5,2022-09-18 22:53:47,nujek
maaf soal ga da driver khusus kota deh kayak,ROya Robin,1,2022-09-04 01:04:49,nujek
tolong cilacap nujek aktif lgi donk admin makasih belum,Sutriono Triono,5,2022-09-03 13:06:51,nujek
bagus sih tapi di area tanjung balai karimun masih belum ada layan moga di tanjung balai karimun segera layan,Dennis Fedrick,1,2022-09-02 08:54:26,nujek
makasih bantu,esther herawati,4,2022-09-01 19:44:40,nujek
alhamdulillah sangat bantu,Mas Ya,4,2022-09-01 07:45:48,nujek
untuk map nujek sering ga gerak lokasi drivernya jdi gatau di mana lokasi driver,M. Nurfaizi Hakim,2,2022-08-27 08:38:31,nujek
tidak ribet selalu muas,Maria Herlina Kerin Barbara,5,2022-08-25 01:15:06,nujek
susah masuk aplikasi loading mulu kgak selsai,Agung Susanto,1,2022-08-21 12:05:07,nujek
tolong baharu sistem masak order 1 draver yg datang 2 u200d u200d,Zidan Algifri,1,2022-08-20 10:59:55,nujek
halo guna nujek tolong beri arah pd driver y kalo ad order jgn sombong pake d tolak segala g usah jd ojol kalo g mau nerima order itu sama tolak rezeki driver y suka ngeluh karna order sepi gilir dpt order tolak payah,Hendra Mardiansyah (bill),1,2022-08-13 02:54:34,nujek
aplikasi nya jelek sering eror jangan donload mending maxim aplikasi lancar,Beni Saliman,1,2022-08-11 20:30:37,nujek
sayang dapet drivernya tolong dong banyak drivernya,regina minerva,1,2022-08-09 07:14:27,nujek
nujek ramah sopan,Nur Yanti,5,2022-08-08 12:32:49,nujek
bagus pilih driver cmn privasi nya kurang ya soal chat nya langsung wa sms d baik,Garasi Sale,3,2022-08-03 09:04:38,nujek
baik terus apk belah,DJ Siwil,3,2022-08-03 04:17:24,nujek
layan bagus driver ramah tapi sayang pas cari driver muncul 2 sekaligus jadi nama yg mncul aplikasi satu nama tdk muncul tapi dua nya masuk chat wa otomatis 1 nya hrus batal kasi drivernya kalau begitu mohon baik lagi trmakasih,Jihan Maghfirah Arfiani Lahay,4,2022-08-03 02:26:11,nujek
nujek bangkrut kapo syukur,Slamet Junaidi,1,2022-08-02 07:51:23,nujek
mapsnya lambat banget kadang g jalan tau driver sdh sampai padahal maps driver jauh,Untung Prasetya,4,2022-07-30 01:46:02,nujek
moga tambah baik aplikasi nujek sukses selalu,easytomake nassun deo,5,2022-07-27 12:46:14,nujek
senang beli makan haris keluar rumah,Sensi Dami,5,2022-07-27 12:31:34,nujek
kapan kota serang banten order,Aqilroid Japar,4,2022-07-26 17:18:50,nujek
aplikasi eror terus,fitriah vebriani,1,2022-07-26 07:55:47,nujek
nujek murah bangettt cuman suka dapet driver jauh jauh baik yaa sistem,rivani rachmita sari,4,2022-07-26 06:17:15,nujek
jelek banget lama jemput begitu dicancel terima tetap nganter biaya di naik 2 lipat kecewa berat,Alifah ifah,1,2022-07-26 04:35:27,nujek
ongkir mahal ga deket ga jauh sama aja ongkir ny ongkir sesuai sama jarak biar kaya aplikasi online nya,Rahmat Setiawan,1,2022-07-24 14:33:27,nujek
tolong dong bugny ad,Andi Khalid Babe,3,2022-07-22 10:53:32,nujek
yah nama nyh orang mana ken nyah enak murah ga mau ribeet ga nyadar kalo semua nilay nyah ada harga kualitas udah gitu z yah oke,Kang Dd,5,2022-07-22 05:09:25,nujek
jaring sering error,Krisna Martena,4,2022-07-19 14:53:15,nujek
susah daftar jadi driver nya apk nya eror mulu,TakTik,1,2022-07-18 03:21:16,nujek
eror terus aplikasi nya kapan benerin orang buru2 ga dapet terus gara2 eror -,Labibah Phantomhive,1,2022-07-16 00:42:00,nujek
alhamdulillah ojol sangat bantu drever ramah,Ahmad Saeroji,5,2022-07-15 13:29:53,nujek
aplikasi ojol jelek pernah pakai order sering 2 driver slow respon pkonya kecewa sama aplikasi,Tia Nopiana Ana,1,2022-07-15 03:12:32,nujek
aplikasi jelek makin lama buka makin bagus makin ancur kecewa aplikasi nujek,Muhammad Hariyadi Mursyid,1,2022-07-15 02:35:57,nujek
adain ios donggg,Ani Sulis Damarwati,5,2022-07-13 12:27:38,nujek
daftare piye carane mas,hadi nuswantara,1,2022-07-12 10:03:19,nujek
sngt bgs sngt baik harga jg murah sngt muas trmksh bnyk diri cipta nujek smga allah sll kati aamiin mujiibassaaailiin,Ety Zahra,5,2022-07-09 11:37:38,nujek
susah cari driver lokasi pindah pindah ga sesuai gps sy,PrinceDebay Kenzie,3,2022-07-09 09:52:58,nujek
layan yg baik tarif yg jujur mahal klu yg murah bagus apa pilih yg mahal,Budi Bayu,5,2022-07-07 05:24:36,nujek
bagaika kirim krensot daftar drive,Subur Sumantri,3,2022-07-06 05:26:35,nujek
maju terus nujek aplikasi bagus tinggal nambah driver service,HITECH NOW,5,2022-07-05 00:11:54,nujek
mantap ramah kantong ramah driver ramah layan csnya terima kasih nujek,Barang BekasPurwokerto,5,2022-07-04 18:26:32,nujek
baik pakai nujek saya erti pasang profil nujek bagaimana,Riska Yolanda,5,2022-07-01 11:41:02,nujek
baik cepat driver ramah sopan murah,Andre Wahjudibroto,5,2022-06-25 15:24:21,nujek
benar harus share lokasi benar jangan asal dan kasih informasi benar,Alman Mega,5,2022-06-23 13:30:47,nujek
terlalu lama nunggu pesan ambil sampai susah dapat nugrab car padahal ada emergency rsud tlg benar aplikasi,Ahmad Miardi,1,2022-06-22 00:28:54,nujek
padahal ringan apknya malah gak masuk ya gak jadi move apk ini,Saturday Rise,1,2022-06-21 23:22:39,nujek
aplikasi kaga driver nya,Siti Jukhaeriah,1,2022-06-21 19:17:19,nujek
saya dftar tumpang sudah coba pesan dapat driver tapi kok peta kendara driver muncul tau driver minta batal pick up ny jauh pdhl saja ga tau posisi drivernya,Albertus Bima Sulistya,1,2022-06-19 06:55:57,nujek
murah banding grab,Lina Kusmayanti,5,2022-06-17 13:00:49,nujek
kenapa skrng tarif e jadi lebih mahal drpada aplikasi belah,Ika Yuli Rokhmawanti,2,2022-06-17 06:23:46,nujek
susah hubung baik nujek pusat cabang saat keluh,Denny Nurjaya (DDN),1,2022-06-17 05:56:38,nujek
emang murah tpi murah order banyak d batalin driver semua,AGUS SETIAWAN,1,2022-06-14 04:56:34,nujek
drivernya sedikit banyak driver yg blokir karena gak punya jaket knapa jemput tumpang jadi lama,Ragenah Blaz,1,2022-06-08 13:03:55,nujek
driver ga niat,Haris Putra Ramadhan,1,2022-06-08 12:11:05,nujek
klau mau mesen apa sllu tolak wk,nilamcahya,1,2022-06-06 03:53:04,nujek
layan nya bagus sopan,Didin Suherman,5,2022-05-31 01:34:47,nujek
keren ga kalah sama aplikasi ojeg online lain dan coba,Syahrul Ramadhan,5,2022-05-30 14:16:48,nujek
gimana kok daerah ku ada sopir di sidoarjo emang ada nujek paksa pesan makan aplikasi,Selfi Thalib,1,2022-05-29 12:57:38,nujek
di jakarta gak sama sekali driver padahal jakarta kota besar para santri wati di jakarta nujek sy bakal kasih rating 1 dlu,Zhelani Ghazian,1,2022-05-28 16:34:07,nujek
kasi bintang 5 dulu,Ephy Ntrl,5,2022-05-27 16:58:52,nujek
sangat manfaat terimakasih nahdatul ulama,WAFA FAUZAN,5,2022-05-27 01:03:21,nujek
